Site;Area_code;Plot_code;Scale;sw_x;sw_y;nw_x;nw_y;se_x;se_y;ne_x;ne_y;agb_fph;cred_fph_2.5;cred_fph_97.5;agb_chv;cred_chv_2.5;cred_chv_97.5;agb_loc;cred_loc_2.5;cred_loc_97.5;TCH;H50;GF20;STDV;BA;WD;Ndens
RABI;RAB01h;RABI;1ha;597926.1577;9786898.412;597848.1146;9786960.936;597988.682;9786976.455;597910.6389;9787038.979;264.5;233.3;301.5;228.6;197.8;273.9;210.7;191.3;233.2;19.66271739;18.41500473;0.600020014;7.858543006;20.79633884;0.661041717;454
RABI;RAB02h;RABI;1ha;597848.1146;9786960.936;597770.0716;9787023.46;597910.6389;9787038.979;597832.5959;9787101.504;327.3;289.5;373.3;284.8;247.7;337.3;280.3;248.8;316.2;24.02936268;23.35000229;0.356164384;8.872869831;23.85809342;0.677997226;500
RABI;RAB03h;RABI;1ha;597770.0716;9787023.46;597692.0286;9787085.985;597832.5959;9787101.504;597754.5528;9787164.028;343.7;315.9;376;294.9;265.7;335.2;303.2;276.6;333.4;25.55422702;26.93000412;0.255374463;8.277211893;27.67521096;0.644401004;541
RABI;RAB04h;RABI;1ha;597692.0286;9787085.985;597613.9855;9787148.509;597754.5528;9787164.028;597676.5098;9787226.552;343.5;314.1;377.7;291.5;265.1;322.3;300.1;274.8;324.9;26.81398204;27.71125221;0.157305617;7.207124513;26.33622804;0.645410994;430
RABI;RAB05h;RABI;1ha;597613.9855;9787148.509;597535.9425;9787211.033;597676.5098;9787226.552;597598.4667;9787289.076;367.7;320.4;424.8;329.2;277.1;401.6;320.6;278.1;368.5;26.58188375;26.1099987;0.212812813;8.064963946;27.68118155;0.623710968;453
RABI;RAB06h;RABI;1ha;597988.682;9786976.455;597910.6389;9787038.979;598051.2062;9787054.498;597973.1632;9787117.022;337.6;305.5;376.9;290;258.6;328.4;301;275.1;331.5;27.79361245;27.40381241;0.177557954;7.756395818;26.16785045;0.642725861;484
RABI;RAB07h;RABI;1ha;597910.6389;9787038.979;597832.5959;9787101.504;597973.1632;9787117.022;597895.1201;9787179.547;477.6;415.3;550.6;427.1;361.2;513.9;413.2;361.4;475.5;27.45034704;28.67666817;0.2838;9.815843578;30.06465371;0.712854621;476
RABI;RAB08h;RABI;1ha;597832.5959;9787101.504;597754.5528;9787164.028;597895.1201;9787179.547;597817.0771;9787242.071;244.1;225.5;265.1;204.9;186.9;225.9;209.4;194.2;225.3;21.03687134;19.51833344;0.523361681;9.03371198;20.65315212;0.662886848;522
RABI;RAB09h;RABI;1ha;597754.5528;9787164.028;597676.5098;9787226.552;597817.0771;9787242.071;597739.0341;9787304.595;317.2;280.5;361.6;275.3;241.1;322.1;280.1;250.1;322.5;21.78952972;21.9600029;0.418358164;8.710353787;25.221342;0.632924835;490
RABI;RAB10h;RABI;1ha;597676.5098;9787226.552;597598.4667;9787289.076;597739.0341;9787304.595;597660.991;9787367.119;368.5;318.3;431.8;329.1;274.5;406.7;323.3;278.9;378.5;24.77099884;25.93999863;0.296810957;10.17156312;26.41315072;0.654281737;457
