Site;Area_code;Plot_code;Scale;sw_x;sw_y;nw_x;nw_y;se_x;se_y;ne_x;ne_y;agb_fph;cred_fph_2.5;cred_fph_97.5;agb_chv;cred_chv_2.5;cred_chv_97.5;agb_loc;cred_loc_2.5;cred_loc_97.5;TCH;H50;GF20;STDV;BA;WD;Ndens
NOURAGUES;NOU01h1;NOU01;1ha;312514.2862;449724.252;312517.6017;449824.1971;312614.2312;449720.9365;312617.5467;449820.8815;473.2;428.1;528;468.2;410.1;547.5;464.8;420;523.6;31.58527935;32.11714172;0.105178964;9.174440856;34.20097277;0.677129311;534
NOURAGUES;NOU01h2;NOU01;1ha;312517.6017;449824.1971;312520.9172;449924.1421;312617.5467;449820.8815;312620.8622;449920.8266;405.7;371.7;447.3;395.6;352.9;448.2;388.2;354.8;428.6;32.11773221;34.6000061;0.174717472;11.147932;29.96836389;0.639870549;451
NOURAGUES;NOU02h1;NOU02;1ha;313704.3114;451320.5058;313616.5131;451368.375;313752.1806;451408.3041;313664.3823;451456.1733;297.5;266.1;336.6;287.9;250.3;334.4;284.6;255;323;22.85238909;21.30999756;0.4433;11.42257031;23.15141571;0.647498286;491
NOURAGUES;NOU02h2;NOU02;1ha;313752.1806;451408.3041;313664.3823;451456.1733;313800.0498;451496.1024;313712.2515;451543.9716;283;260;311.4;269.6;241.6;302.1;268.2;244.8;294.6;25.89407502;26.06900406;0.2359;9.304966955;24.1476815;0.595923327;496
NOURAGUES;NOU02h3;NOU02;1ha;313800.0498;451496.1024;313712.2515;451543.9716;313847.919;451583.9007;313760.1207;451631.7699;346;316.2;380.8;332.1;296.6;376.7;328.9;301.2;359.7;28.89888154;27.13500214;0.28;11.78055547;26.56867841;0.622041344;507
NOURAGUES;NOU02h4;NOU02;1ha;313847.919;451583.9007;313760.1207;451631.7699;313895.7882;451671.699;313807.9899;451719.5682;279.8;254;311.4;269.3;237.5;310.1;266.5;240.9;295.4;25.81487013;24.62000275;0.288128813;9.953227335;22.49291433;0.633496753;479
NOURAGUES;NOU02h5;NOU02;1ha;313895.7882;451671.699;313807.9899;451719.5682;313943.6574;451759.4973;313855.8591;451807.3665;301.5;270.1;341.6;293.8;257.6;338.1;288.5;258.2;326;26.365358;25.13499832;0.286;11.17447514;22.91223919;0.649625832;454
NOURAGUES;NOU02h6;NOU02;1ha;313943.6574;451759.4973;313855.8591;451807.3665;313991.5265;451847.2956;313903.7282;451895.1648;321.3;289.1;358.9;313.5;275.5;360;308.5;277.5;346.9;26.82551907;26.37000275;0.2572;10.113177;25.50440813;0.624749256;491
NOURAGUES;NOU02h7;NOU02;1ha;313991.5265;451847.2956;313903.7282;451895.1648;314039.3957;451935.0939;313951.5974;451982.9631;395.1;357.8;439.8;385.7;343.6;437.4;378.6;341.5;419.7;31.40784227;30.41999435;0.0814;9.711097355;28.23129799;0.657119602;442
NOURAGUES;NOU02h8;NOU02;1ha;314039.3957;451935.0939;313951.5974;451982.9631;314087.2649;452022.8922;313999.4666;452070.7614;619;558.6;683;628.6;558.4;718.4;605.1;548.5;671.3;34.50754176;36.29000092;0.1148;12.06696864;38.06374472;0.718809633;434
NOURAGUES;NOU02h9;NOU02;1ha;314087.2649;452022.8922;313999.4666;452070.7614;314135.1341;452110.6905;314047.3358;452158.5597;478.1;435.4;524.9;465.6;418.5;519.6;461.3;423.7;504.8;33.98413287;33.76000595;0.0688;9.282837468;32.62745975;0.692208577;508
NOURAGUES;NOU02h10;NOU02;1ha;314135.1341;452110.6905;314047.3358;452158.5597;314183.0033;452198.4888;314095.205;452246.358;452.1;413.6;498.5;439.4;391.7;491.6;434.2;397.5;477.1;33.03732866;32.70999908;0.0871;9.363279952;31.89395049;0.727786563;510
NOURAGUES;NOU03h1;NOU03;1ha;313129.3929;446508.6265;313130.6146;446608.6191;313229.3854;446507.4048;313230.6071;446607.3974;504.6;454.3;567.1;509.9;445.4;597.5;489.8;438.4;553.9;31.56201758;31.6000061;0.094637855;8.084518209;38.16711254;0.607978874;532
NOURAGUES;NOU03h2;NOU03;1ha;313130.6146;446608.6191;313131.8363;446708.6116;313230.6071;446607.3974;313231.8288;446707.3899;538.7;492.2;589.3;528;472.2;596.4;518.4;475.2;568.4;29.04519909;29.53999329;0.168683132;8.947200843;40.16047822;0.638262069;606
NOURAGUES;NOU03h3;NOU03;1ha;313131.8363;446708.6116;313133.058;446808.6041;313231.8288;446707.3899;313233.0505;446807.3824;458;417;509.7;457;400.6;525.1;444.3;398.9;496;32.59318594;32.48072052;0.0749;8.662638928;34.13920592;0.621757665;477
NOURAGUES;NOU03h4;NOU03;1ha;313229.3854;446507.4048;313230.6071;446607.3974;313329.3779;446506.1831;313330.5996;446606.1757;551.1;496;613.2;558.9;488.2;638;537.5;482.7;598.3;32.74013581;34.55000305;0.107489251;9.108014131;36.79623225;0.640398755;469
NOURAGUES;NOU03h5;NOU03;1ha;313230.6071;446607.3974;313231.8288;446707.3899;313330.5996;446606.1757;313331.8213;446706.1682;536.9;484;592.6;540.9;476.7;616.9;521;472.7;577.4;33.93801088;33.64999771;0.0454;8.39633417;38.19503031;0.658074529;451
NOURAGUES;NOU03h6;NOU03;1ha;313231.8288;446707.3899;313233.0505;446807.3824;313331.8213;446706.1682;313333.043;446806.1607;562.2;514.3;620.9;559.3;494.5;641.3;545.4;495.6;610;31.1965414;33.31000519;0.115411541;9.256024531;38.82548983;0.661449391;468
NOURAGUES;NOU04h1;NOU04;1ha;313216.7083;451258.6465;313128.5779;451305.9016;313263.9634;451346.7768;313175.833;451394.0319;446.7;410.9;488.4;427.1;386.2;476.5;425.6;393.6;463.9;34.5192987;34.66000366;0.050494951;8.506072152;30.92116339;0.698107721;509
NOURAGUES;NOU04h2;NOU04;1ha;313128.5779;451305.9016;313040.4476;451353.1566;313175.833;451394.0319;313087.7027;451441.287;310.4;285.5;340.7;295.1;264.6;331.3;294.6;270;321;29.73396106;29.60999298;0.159515952;10.17205079;23.84201632;0.662310208;507
NOURAGUES;NOU04h3;NOU04;1ha;313040.4476;451353.1566;312952.3172;451400.4117;313087.7027;451441.287;312999.5723;451488.5421;423;390;460.8;400.8;365.2;444.9;400.9;372.3;434.8;32.90256833;33.82000732;0.078092191;8.351194738;30.41939528;0.680241566;533
NOURAGUES;NOU04h4;NOU04;1ha;312952.3172;451400.4117;312864.1869;451447.6668;312999.5723;451488.5421;312911.442;451535.7971;472.9;431.8;517.7;464.9;413;523.4;454.6;415.9;500.9;35.53636687;37.70000458;0.088;9.458470595;33.83739625;0.649532694;459
NOURAGUES;NOU04h5;NOU04;1ha;313263.9634;451346.7768;313175.833;451394.0319;313311.2184;451434.9072;313223.0881;451482.1623;437;401.5;477.3;418.4;377;466.2;417.2;383.7;454.7;33.96732733;35.68000031;0.088635454;8.995547208;30.49819978;0.690212854;486
NOURAGUES;NOU04h6;NOU04;1ha;313175.833;451394.0319;313087.7027;451441.287;313223.0881;451482.1623;313134.9577;451529.4173;397.5;360.3;439.6;386.5;342.6;437.9;381.4;344.4;422;33.22818332;34.11000824;0.099470159;10.052558;28.12609626;0.682896661;472
NOURAGUES;NOU04h7;NOU04;1ha;313087.7027;451441.287;312999.5723;451488.5421;313134.9577;451529.4173;313046.8274;451576.6724;464.7;428.8;506.1;445.3;401.8;491.7;442.3;408.8;481;35.01996173;36.54999542;0.030006001;7.261148003;32.95148597;0.684620642;563
NOURAGUES;NOU04h8;NOU04;1ha;312999.5723;451488.5421;312911.442;451535.7971;313046.8274;451576.6724;312958.6971;451623.9275;449.3;412.4;492.1;432.6;387.9;483.3;430.2;395.2;468.3;33.88015677;34.20999908;0.04989501;7.908999468;31.69522669;0.682909992;513
NOURAGUES;NOU04h9;NOU04;1ha;313311.2184;451434.9072;313223.0881;451482.1623;313358.4735;451523.0375;313270.3432;451570.2926;546.7;502.4;593.7;528;476.5;585.9;508.2;465.6;554.2;35.7358255;36.125;0.026889244;7.674011182;36.27119829;0.709354266;519
NOURAGUES;NOU04h10;NOU04;1ha;313223.0881;451482.1623;313134.9577;451529.4173;313270.3432;451570.2926;313182.2128;451617.5477;414.1;379;451.8;397.6;353.5;445.6;394.4;361;432.8;32.85629134;34.09857178;0.106342537;9.628550911;29.11423789;0.687726184;511
NOURAGUES;NOU04h11;NOU04;1ha;313134.9577;451529.4173;313046.8274;451576.6724;313182.2128;451617.5477;313094.0825;451664.8028;511.1;472.3;557.2;490.3;444.3;547.4;485;449.1;525.2;33.57895019;33.77333069;0.031493701;6.939101026;35.3235565;0.698171205;558
NOURAGUES;NOU04h12;NOU04;1ha;313046.8274;451576.6724;312958.6971;451623.9275;313094.0825;451664.8028;313005.9521;451712.0578;489.2;448.8;539.6;472.9;424.3;535.4;467.3;428;511.3;33.08566481;33.68999863;0.0703;8.329234823;33.65264547;0.699375313;535
NOURAGUES;NOU08h1;NOU08;1ha;313652;447024;313652;447124;313752;447024;313752;447124;522.9;479.1;565.5;510.2;458.7;567.8;495.3;454.5;540.3;32.88255985;33.78788757;0.073;8.208329762;37.26381276;0.643572598;494
NOURAGUES;NOU09h1;NOU09;1ha;313832;447430;313832;447530;313932;447430;313932;447530;466.4;426.1;515.1;462.1;409.9;523.1;443.1;406.2;488.2;31.60282218;31.15209961;0.0533;8.066599588;34.66829253;0.627192419;482
NOURAGUES;NOU10h1;NOU10;1ha;314144;446338;314144;446438;314244;446338;314244;446438;401.7;368.5;437.4;379.4;343.5;423.3;343.3;317.9;371.7;25.89935226;25.80000114;0.1254;5.973021195;27.8877774;0.722004672;518
