plot_ref;plot_0.25;site;sp;genus;fam;dbh;h
41;a;Malebo;Afrostyrax_lepidophyllus;Afrostyrax;Huaceae;38;29
41;b;Malebo;Alstonia_congensis;Alstonia;Apocynaceae;95,5;33,3
41;b;Malebo;Alstonia_congensis;Alstonia;Apocynaceae;130;38,4
41;a;Malebo;Annickia_chlorantha;Annickia;Annonaceae;12;11
41;a;Malebo;Annickia_chlorantha;Annickia;Annonaceae;15;14,2
41;c;Malebo;Annickia_chlorantha;Annickia;Annonaceae;16;13
41;c;Malebo;Annickia_chlorantha;Annickia;Annonaceae;16,8;12,1
41;d;Malebo;Annickia_chlorantha;Annickia;Annonaceae;12;9,2
41;b;Malebo;Anonidium_mannii;Anonidium;Annonaceae;12;10
41;a;Malebo;Barteria_fistulosa;Barteria;Passifloraceae;16;14,3
41;a;Malebo;Barteria_fistulosa;Barteria;Passifloraceae;21;12,5
41;a;Malebo;Barteria_fistulosa;Barteria;Passifloraceae;21;19,8
41;a;Malebo;Bikinia_evrardii;Bikinia;Fabaceae;45,5;33,2
41;a;Malebo;Bikinia_evrardii;Bikinia;Fabaceae;108;36,9
41;a;Malebo;Bikinia_evrardii;Bikinia;Fabaceae;51;24,3
41;b;Malebo;Bikinia_evrardii;Bikinia;Fabaceae;150;38,9
41;b;Malebo;Chaetocarpus_africanus;Chaetocarpus;Euphorbiaceae;12,4;17,6
41;c;Malebo;Chaetocarpus_africanus;Chaetocarpus;Euphorbiaceae;12;12,8
41;d;Malebo;Chrysophyllum_lacourtianum;Chrysophyllum;Sapotaceae;25,5;24,9
41;a;Malebo;Coelocaryon_preussii;Coelocaryon;Myristicaceae;25,5;17,5
41;b;Malebo;Cola_acuminata;Cola;Malvaceae;23;18,3
41;c;Malebo;Cola_acuminata;Cola;Malvaceae;22;9
41;c;Malebo;Cola_ballayi;Cola;Malvaceae;12;10,8
41;c;Malebo;Cola_ballayi;Cola;Malvaceae;13;8
41;c;Malebo;Cola_ballayi;Cola;Malvaceae;14;12,1
41;a;Malebo;Cola_griseiflora;Cola;Malvaceae;12;9
41;a;Malebo;Cola_griseiflora;Cola;Malvaceae;11;10
41;a;Malebo;Cola_griseiflora;Cola;Malvaceae;14;14,6
41;a;Malebo;Cola_griseiflora;Cola;Malvaceae;15;13,3
41;b;Malebo;Cola_griseiflora;Cola;Malvaceae;22;14,1
41;b;Malebo;Cola_griseiflora;Cola;Malvaceae;17;15,2
41;b;Malebo;Cola_griseiflora;Cola;Malvaceae;17;15
41;b;Malebo;Cola_griseiflora;Cola;Malvaceae;13;12,8
41;b;Malebo;Cola_griseiflora;Cola;Malvaceae;17;17,2
41;b;Malebo;Cola_griseiflora;Cola;Malvaceae;26;20,2
41;b;Malebo;Cola_griseiflora;Cola;Malvaceae;18;18
41;b;Malebo;Cola_griseiflora;Cola;Malvaceae;11;8
41;b;Malebo;Cola_griseiflora;Cola;Malvaceae;16;16
41;b;Malebo;Cola_griseiflora;Cola;Malvaceae;16;13,2
41;b;Malebo;Cola_griseiflora;Cola;Malvaceae;16;12,8
41;b;Malebo;Cola_griseiflora;Cola;Malvaceae;14;12,9
41;b;Malebo;Cola_griseiflora;Cola;Malvaceae;15;5,7
41;b;Malebo;Cola_griseiflora;Cola;Malvaceae;16;16,8
41;b;Malebo;Cola_griseiflora;Cola;Malvaceae;20;15,2
41;b;Malebo;Cola_griseiflora;Cola;Malvaceae;17;16,2
41;b;Malebo;Cola_griseiflora;Cola;Malvaceae;15;12
41;c;Malebo;Cola_griseiflora;Cola;Malvaceae;19,4;15,4
41;c;Malebo;Cola_griseiflora;Cola;Malvaceae;18;15
41;c;Malebo;Cola_griseiflora;Cola;Malvaceae;19;13,5
41;d;Malebo;Cola_griseiflora;Cola;Malvaceae;15,5;10,9
41;d;Malebo;Cola_griseiflora;Cola;Malvaceae;10;12,1
41;d;Malebo;Cola_griseiflora;Cola;Malvaceae;19,3;10,1
41;d;Malebo;Cola_griseiflora;Cola;Malvaceae;16;14
41;d;Malebo;Cola_griseiflora;Cola;Malvaceae;10;9,9
41;d;Malebo;Cola_griseiflora;Cola;Malvaceae;10;9
41;d;Malebo;Cola_griseiflora;Cola;Malvaceae;15;10
41;d;Malebo;Cola_griseiflora;Cola;Malvaceae;11,5;8
41;d;Malebo;Cola_griseiflora;Cola;Malvaceae;22;11
41;d;Malebo;Cola_griseiflora;Cola;Malvaceae;14;11
41;d;Malebo;Cola_griseiflora;Cola;Malvaceae;14;10
41;d;Malebo;Cola_griseiflora;Cola;Malvaceae;11;9,9
41;d;Malebo;Cola_griseiflora;Cola;Malvaceae;15,5;9
41;c;Malebo;Dialium_pachyphyllum;Dialium;Fabaceae;20;15,1
41;a;Malebo;Diospyros_ferrea;Diospyros;Ebenaceae;15;12
41;a;Malebo;Diospyros_ferrea;Diospyros;Ebenaceae;25;16
41;a;Malebo;Diospyros_ferrea;Diospyros;Ebenaceae;15,2;13,5
41;a;Malebo;Diospyros_ferrea;Diospyros;Ebenaceae;12;18,5
41;a;Malebo;Diospyros_ferrea;Diospyros;Ebenaceae;13;11,3
41;b;Malebo;Diospyros_ferrea;Diospyros;Ebenaceae;18;14
41;b;Malebo;Diospyros_ferrea;Diospyros;Ebenaceae;13;10
41;b;Malebo;Diospyros_ferrea;Diospyros;Ebenaceae;20;16
41;b;Malebo;Diospyros_ferrea;Diospyros;Ebenaceae;16;13
41;b;Malebo;Diospyros_ferrea;Diospyros;Ebenaceae;15;13
41;c;Malebo;Diospyros_ferrea;Diospyros;Ebenaceae;16;19,2
41;d;Malebo;Diospyros_ferrea;Diospyros;Ebenaceae;11,8;8,9
