plot_ref;source;utm;EPSG
41;transects;UTM33S;32733
53;transects;UTM33S;32733
M2P15;transects;UTM33S;32733
M2P14;transects;UTM33S;32733
M2P16;transects;UTM33S;32733
151;transects;UTM33S;32733
162;transects;UTM33S;32733
199;transects;UTM33S;32733
123;transects;UTM33S;32733
148;transects;UTM33S;32733
166;transects;UTM33S;32733
180;transects;UTM33S;32733
184;transects;UTM33S;32733
189;transects;UTM33S;32733
PARAP_SwaKibula_234;transects;UTM33S;32733
PARAP_Mashambio_26;transects;UTM33S;32733
PARAP_Mampulu_28;transects;UTM33S;32733
M2P2;transects;UTM33S;32733
M2P1;transects;UTM33S;32733
M2P9;transects;UTM33S;32733
M2P13;transects;UTM33S;32733
M2P12;transects;UTM33S;32733
M2P11;transects;UTM33S;32733
M2P10;transects;UTM33S;32733
PARAP_Lukolela_53;transects;UTM33S;32733
WWF-DIAF_supp1_Principal;transects;UTM34N;32634
WWF-DIAF_supp2_Principal;transects;UTM34N;32634
WWF-DIAF_11_05_Principal;transects;UTM34N;32634
WWF-DIAF_12_06_Principal;transects;UTM34N;32634
WWF-DIAF_15_09_Principal;transects;UTM34N;32634
WWF-DIAF_17_11_Principal;transects;UTM34N;32634
Lokofa_1;transects;UTM34S;32734
Lokofa_2;transects;UTM34S;32734
Lokofa_3;transects;UTM34S;32734
Lokofa_4;transects;UTM34S;32734
PARAP_Mangai_16;transects;UTM34S;32734
WWF-DIAF_13_07_Principal;transects;UTM34S;32734
WWF-DIAF_14_08_Principal;transects;UTM34S;32734
Modele_2406_Principal;transects;UTM34S;32734
FRM 162;transects;UTM34S;32734
FRM 227;transects;UTM34S;32734
FRM 627;transects;UTM34S;32734
FRM 546;transects;UTM34S;32734
FRM 102;transects;UTM34S;32734
FRM 15;transects;UTM34S;32734
FRM 39;transects;UTM34S;32734
FRM 80;transects;UTM34S;32734
FRM 408;transects;UTM34S;32734
FRM 373;transects;UTM34S;32734
FRM 289;transects;UTM34S;32734
PARAP_Gungu_5;transects;UTM34S;32734
Betamba_1;transects;UTM34S;32734
Betamba_2;transects;UTM34S;32734
Betamba_3;transects;UTM34S;32734
Betamba_4;transects;UTM34S;32734
PARAP_Idiofa_6;transects;UTM34S;32734
MIX6;transects;UTM35N;32635
GIL3;transects;UTM35N;32635
GIL2;transects;UTM35N;32635
MIX2;transects;UTM35N;32635
GIL1;transects;UTM35N;32635
JEU4;transects;UTM35N;32635
JEU5;transects;UTM35N;32635
JEU3;transects;UTM35N;32635
JEU2;transects;UTM35N;32635
JEU-L2;transects;UTM35N;32635
JEU-L6B;transects;UTM35N;32635
MIX-L6A;transects;UTM35N;32635
MIX-L7A;transects;UTM35N;32635
Model_OR_lidar_87_Principal;transects;UTM35N;32635
Modele_4301_Principal;transects;UTM35S;32735
