plot_ref;source;utm;transect_name;folder_name
41;transects;UTM33S;Plot135;Plot135
53;transects;UTM33S;Plot135;Plot135
M2P15;transects;UTM33S;Plot135;Plot135
M2P14;transects;UTM33S;Plot135;Plot135
M2P16;transects;UTM33S;Plot135;Plot135
151;transects;UTM33S;Plot137;Plot137
162;transects;UTM33S;Plot137;Plot137
199;transects;UTM33S;Plot137;Plot137
123;transects;UTM33S;Plot138;Plot138
148;transects;UTM33S;Plot138;Plot138
166;transects;UTM33S;Plot138;Plot138
180;transects;UTM33S;Plot138;Plot138
184;transects;UTM33S;Plot138;Plot138
189;transects;UTM33S;Plot138;Plot138
PARAP_SwaKibula_234;transects;UTM33S;Plot234;Plot234
PARAP_Mashambio_26;transects;UTM33S;Plot26;Plot26
PARAP_Mampulu_28;transects;UTM33S;Plot28;Plot28
M2P2;transects;UTM33S;Plot40;Plot40
M2P1;transects;UTM33S;Plot40;Plot40
M2P9;transects;UTM33S;Plot40;Plot40
M2P13;transects;UTM33S;Plot40;Plot40
M2P12;transects;UTM33S;Plot40;Plot40
M2P11;transects;UTM33S;Plot40;Plot40
M2P10;transects;UTM33S;Plot40;Plot40
PARAP_Lukolela_53;transects;UTM33S;Plot53;Plot53
WWF-DIAF_supp1_Principal;transects;UTM34N;Plot105;Plot105
WWF-DIAF_supp2_Principal;transects;UTM34N;Plot119;Plot119
WWF-DIAF_11_05_Principal;transects;UTM34N;Plot160;Plot160
WWF-DIAF_12_06_Principal;transects;UTM34N;Plot162;Plot162
WWF-DIAF_15_09_Principal;transects;UTM34N;Plot170;Plot170
WWF-DIAF_17_11_Principal;transects;UTM34N;Plot172;Plot172
Lokofa_1;transects;UTM34S;Plot136;Plot136
Lokofa_2;transects;UTM34S;Plot136;Plot136
Lokofa_3;transects;UTM34S;Plot136;Plot136
Lokofa_4;transects;UTM34S;Plot136;Plot136
PARAP_Mangai_16;transects;UTM34S;Plot16;Plot16
WWF-DIAF_13_07_Principal;transects;UTM34S;Plot163;Plot163
WWF-DIAF_14_08_Principal;transects;UTM34S;Plot164;Plot164
Modele_2406_Principal;transects;UTM34S;Plot166;Plot166
FRM 162;transects;UTM34S;Plot175;Plot175
FRM 227;transects;UTM34S;Plot175;Plot175
FRM 627;transects;UTM34S;Plot201;Plot201
FRM 546;transects;UTM34S;Plot201;Plot201
FRM 102;transects;UTM34S;Plot30;Plot30
FRM 15;transects;UTM34S;Plot30;Plot30
FRM 39;transects;UTM34S;Plot30;Plot30
FRM 80;transects;UTM34S;Plot30;Plot30
FRM 408;transects;UTM34S;Plot42;Plot42
FRM 373;transects;UTM34S;Plot42;Plot42
FRM 289;transects;UTM34S;Plot42;Plot42
PARAP_Gungu_5;transects;UTM34S;Plot5;Plot5
Betamba_1;transects;UTM34S;Plot57;Plot57
Betamba_2;transects;UTM34S;Plot57;Plot57
Betamba_3;transects;UTM34S;Plot57;Plot57
Betamba_4;transects;UTM34S;Plot57;Plot57
PARAP_Idiofa_6;transects;UTM34S;Plot6;Plot6
MIX6;transects;UTM35N;Plot86;Plot86
GIL3;transects;UTM35N;Plot86;Plot86
GIL2;transects;UTM35N;Plot86;Plot86
MIX2;transects;UTM35N;Plot86;Plot86
GIL1;transects;UTM35N;Plot86;Plot86
JEU4;transects;UTM35N;Plot86;Plot86
JEU5;transects;UTM35N;Plot86;Plot86
JEU3;transects;UTM35N;Plot86;Plot86
JEU2;transects;UTM35N;Plot86;Plot86
JEU-L2;transects;UTM35N;Plot86;Plot86
JEU-L6B;transects;UTM35N;Plot86;Plot86
MIX-L6A;transects;UTM35N;Plot86;Plot86
MIX-L7A;transects;UTM35N;Plot86;Plot86
Model_OR_lidar_87_Principal;transects;UTM35N;Plot87;Plot87
Modele_4301_Principal;transects;UTM35S;Plot152;Plot152
WWF-DIAF_16_10_Principal;transects;UTM34N;Plot171;Plot171
PARAP_Luhudi_5;transects;UTM35S;Plot23;Plot23
WWF-DIAF_07_01_Principal;transects;UTM34N;Plot143;Plot143
WWF-DIAF_08_02_Principal;transects;UTM34N;Plot144;Plot144
Modele_4402_Principal;transects;UTM35S;Plot167;Plot167
Modele_4503_Principal;transects;UTM35S;Plot178;Plot178
PARAP_Maniema_178;transects;UTM35S;Plot178;Plot178
Modele_MA_lidar_205_principal;transects;UTM35S;Plot205;Plot205
