plot_ref;site;sp;dbh;h
Betamba_1;Betamba;Tessmannia anomala;82,5;41,16
Betamba_1;Betamba;Pentaclethra macrophylla;75;31,05
Betamba_1;Betamba;Symphonia globulifera;63,9;37,7
Betamba_1;Betamba;Celtis briyei;61;35,4
Betamba_1;Betamba;Bosqueiopsis sp;70,6;32,5
Betamba_1;Betamba;Staudtia kamerounensis;47,4;35,96
Betamba_1;Betamba;Staudtia kamerounensis;32,8;30,38
Betamba_1;Betamba;Pterocarpus castelii;41,6;22,6
Betamba_1;Betamba;Xylopia chrysophylla;33,4;33,12
Betamba_1;Betamba;Anonnidium mannii;58,8;23,76
Betamba_1;Betamba;Trichilia prieuriana;34,4;25,23
Betamba_1;Betamba;Greenwayodendron suaveolens;35,6;27,6
Betamba_1;Betamba;Anonnidium mannii;45,3;28,14
Betamba_1;Betamba;Treculia africana;31;23,52
Betamba_1;Betamba;Musanga cecropioides;54,3;20,64
Betamba_1;Betamba;Dichostema glaucescens;27,4;22
Betamba_1;Betamba;Strombosiopsis tetrandra;22,6;18,62
Betamba_1;Betamba;Macaranga spinosa;29,8;23,58
Betamba_1;Betamba;Treculia africana;31;21,78
Betamba_1;Betamba;Macaranga monandra;26,1;21,28
Betamba_1;Betamba;Irvingia excelsa;19,4;18,02
Betamba_1;Betamba;Antiaris toxicaria ssp. welwitschii;23;26
Betamba_1;Betamba;Campylostemon angolensis;13,8;
Betamba_1;Betamba;Turreanthus africanus;23,8;18,81
Betamba_1;Betamba;Tetrorchidium didymostemon;25,3;14,7
Betamba_1;Betamba;Macaranga spinosa;35,8;18,36
Betamba_1;Betamba;Macaranga spinosa;28,1;18,36
Betamba_1;Betamba;Macaranga spinosa;20,3;25,07
Betamba_1;Betamba;Greenwayodendron suaveolens;17,8;17,4
Betamba_1;Betamba;Chytranthus macrocarpus;16,8;12,74
Betamba_1;Betamba;Macaranga spinosa;24;17,94
Betamba_1;Betamba;Macaranga monandra;18,4;13,53
Betamba_1;Betamba;Macaranga spinosa;18,4;18,56
Betamba_1;Betamba;Macaranga spinosa;19,8;17,7
Betamba_1;Betamba;Dichostema glaucescens;17,9;10,32
Betamba_1;Betamba;Macaranga spinosa;14,3;23,58
Betamba_1;Betamba;Strombosiopsis tetrandra;17,6;7,36
Betamba_1;Betamba;Macaranga spinosa;21,5;12,33
Betamba_1;Betamba;Tetrorchidium didymostemon;24,2;12,54
Betamba_1;Betamba;Macaranga spinosa;17,2;15,21
Betamba_1;Betamba;Macaranga spinosa;21;13,3
Betamba_1;Betamba;Amphimas pterocarpoides;12,9;15,45
Betamba_1;Betamba;Tetrorchidium didymostemon;14,8;11,7
Betamba_1;Betamba;Coelocaryon botryoides;15,5;13,12
Betamba_1;Betamba;Macaranga spinosa;14;18,06
Betamba_1;Betamba;Macaranga spinosa;12,9;18,36
Betamba_1;Betamba;Tetrorchidium didymostemon;14,1;11,9
Betamba_1;Betamba;Macaranga spinosa;14,4;15,21
Betamba_1;Betamba;Macaranga spinosa;10;18,56
Betamba_1;Betamba;Macaranga spinosa;21,5;13,32
Betamba_1;Betamba;Macaranga spinosa;11,3;17,94
Betamba_1;Betamba;Tetrorchidium didymostemon;13,1;8,05
Betamba_1;Betamba;Macaranga spinosa;15,6;14,41
Betamba_1;Betamba;Dichostema glaucescens;10,4;14,7
Betamba_1;Betamba;Dichostema glaucescens;12,6;11,7
Betamba_1;Betamba;Dichostema glaucescens;11;11,88
Betamba_1;Betamba;Macaranga spinosa;12,9;14,41
