plot_name;height_aboveground;buffer;gap_area;gap_freq
123;1;0;;1
123;1;20;;1
123;1;50;4;1
123;2;0;;1
123;2;20;;1
123;2;50;2;1
123;2;50;4;1
123;2;50;11;1
123;3;0;2;2
123;3;20;2;2
123;3;50;1;2
123;3;50;2;3
123;3;50;3;2
123;3;50;6;1
123;3;50;14;1
123;3;50;28;1
123;4;0;3;1
123;4;0;8;1
123;4;20;3;1
123;4;20;8;1
123;4;50;1;1
123;4;50;2;2
123;4;50;3;1
123;4;50;4;1
123;4;50;6;2
123;4;50;7;1
123;4;50;8;1
123;4;50;10;1
123;4;50;15;1
123;4;50;48;1
123;5;0;2;2
123;5;0;15;1
123;5;20;2;2
123;5;20;15;1
123;5;50;1;5
123;5;50;2;3
123;5;50;3;1
123;5;50;6;1
123;5;50;7;1
123;5;50;8;2
123;5;50;15;1
123;5;50;19;1
123;5;50;92;1
123;6;0;1;2
123;6;0;2;2
123;6;0;26;1
123;6;20;1;4
123;6;20;2;3
123;6;20;3;1
123;6;20;26;1
123;6;50;1;10
123;6;50;2;7
123;6;50;3;3
123;6;50;4;2
123;6;50;7;1
123;6;50;8;1
123;6;50;9;2
123;6;50;20;1
123;6;50;26;1
123;6;50;108;1
123;7;0;1;1
123;7;0;3;2
123;7;0;4;1
123;7;0;7;1
123;7;0;37;1
123;7;20;1;5
123;7;20;2;1
123;7;20;3;3
123;7;20;4;1
123;7;20;5;1
123;7;20;7;1
123;7;20;14;1
123;7;20;37;1
123;7;50;1;12
123;7;50;2;7
123;7;50;3;4
123;7;50;4;2
123;7;50;5;3
123;7;50;7;3
123;7;50;8;1
123;7;50;9;1
123;7;50;11;1
123;7;50;14;1
123;7;50;16;1
123;7;50;20;1
123;7;50;30;1
123;7;50;37;1
123;7;50;118;1
123;8;0;1;1
123;8;0;2;2
123;8;0;5;1
123;8;0;6;2
123;8;0;8;1
123;8;0;11;1
123;8;0;54;1
123;8;20;1;3
123;8;20;2;4
123;8;20;4;1
123;8;20;5;2
123;8;20;6;3
123;8;20;8;2
123;8;20;11;1
123;8;20;28;1
123;8;20;54;1
123;8;50;1;15
123;8;50;2;7
123;8;50;3;2
123;8;50;4;1
123;8;50;5;4
123;8;50;6;4
123;8;50;8;2
123;8;50;10;2
123;8;50;11;2
123;8;50;13;1
123;8;50;14;1
123;8;50;17;1
123;8;50;37;1
123;8;50;40;1
123;8;50;47;1
123;8;50;54;1
123;8;50;148;1
123;9;0;1;1
123;9;0;3;2
123;9;0;4;1
123;9;0;6;1
123;9;0;8;2
123;9;0;12;1
123;9;0;13;1
123;9;0;89;1
123;9;20;1;2
123;9;20;2;2
123;9;20;3;1
123;9;20;4;2
123;9;20;5;1
123;9;20;6;1
123;9;20;8;4
123;9;20;10;1
123;9;20;12;1
123;9;20;13;1
123;9;20;50;1
123;9;20;89;1
123;9;50;1;13
123;9;50;2;6
123;9;50;3;3
123;9;50;4;3
123;9;50;5;4
123;9;50;6;3
123;9;50;7;1
123;9;50;8;4
123;9;50;10;1
123;9;50;11;1
123;9;50;12;2
123;9;50;13;3
123;9;50;16;1
123;9;50;19;1
123;9;50;21;1
123;9;50;43;1
123;9;50;65;1
123;9;50;75;1
123;9;50;89;1
123;9;50;167;1
123;10;0;1;1
123;10;0;2;1
123;10;0;3;1
123;10;0;4;2
123;10;0;5;1
123;10;0;8;1
123;10;0;10;1
123;10;0;12;1
123;10;0;16;2
123;10;0;107;1
123;10;20;1;2
123;10;20;2;2
123;10;20;3;2
123;10;20;4;2
123;10;20;5;1
123;10;20;6;1
123;10;20;8;1
123;10;20;10;1
123;10;20;11;1
123;10;20;12;1
123;10;20;16;2
123;10;20;18;1
123;10;20;96;1
123;10;20;107;1
123;10;50;1;8
123;10;50;2;7
123;10;50;3;6
123;10;50;4;1
123;10;50;5;5
123;10;50;6;2
123;10;50;7;2
123;10;50;8;2
123;10;50;10;1
123;10;50;11;1
123;10;50;12;2
123;10;50;13;2
123;10;50;15;1
123;10;50;16;3
123;10;50;18;2
123;10;50;19;1
123;10;50;20;1
123;10;50;26;1
123;10;50;29;1
123;10;50;49;1
123;10;50;84;1
123;10;50;107;1
123;10;50;127;1
123;10;50;182;1
123;11;0;1;2
123;11;0;2;2
123;11;0;3;3
123;11;0;4;1
123;11;0;5;1
123;11;0;8;1
123;11;0;10;1
123;11;0;12;1
123;11;0;14;1
123;11;0;18;1
123;11;0;148;1
123;11;20;1;4
123;11;20;2;3
123;11;20;3;3
123;11;20;4;2
123;11;20;5;1
123;11;20;8;1
123;11;20;10;1
123;11;20;12;1
123;11;20;13;1
123;11;20;14;1
123;11;20;18;1
123;11;20;43;1
123;11;20;111;1
123;11;20;148;1
123;11;50;1;13
123;11;50;2;10
123;11;50;3;3
123;11;50;4;4
123;11;50;5;5
123;11;50;6;1
123;11;50;8;3
123;11;50;9;1
123;11;50;10;1
123;11;50;12;2
123;11;50;13;1
123;11;50;14;3
123;11;50;18;2
123;11;50;20;2
123;11;50;22;1
123;11;50;23;1
123;11;50;27;1
123;11;50;43;1
123;11;50;52;1
123;11;50;58;1
123;11;50;61;1
123;11;50;100;1
123;11;50;148;1
123;11;50;151;1
123;11;50;186;1
123;12;0;1;4
123;12;0;2;2
123;12;0;3;1
123;12;0;5;1
123;12;0;6;5
123;12;0;9;1
123;12;0;10;1
123;12;0;16;1
123;12;0;20;1
123;12;0;34;1
123;12;0;201;1
123;12;20;1;7
123;12;20;2;2
123;12;20;3;2
123;12;20;5;2
123;12;20;6;5
123;12;20;9;1
123;12;20;10;1
123;12;20;14;1
123;12;20;16;1
123;12;20;20;1
123;12;20;34;1
123;12;20;51;1
123;12;20;136;1
123;12;20;201;1
123;12;50;1;11
123;12;50;2;6
123;12;50;3;3
123;12;50;4;5
123;12;50;5;5
123;12;50;6;6
123;12;50;7;1
123;12;50;9;2
123;12;50;10;3
123;12;50;13;1
123;12;50;14;2
123;12;50;15;1
123;12;50;16;1
123;12;50;20;2
123;12;50;21;1
123;12;50;22;1
123;12;50;23;1
123;12;50;24;1
