plot_name;mean_proportion;min_proportion;max_proportion;sd_proportion;n_combinations
123;0,530737899725571;0;1;0,424561178482578;275
148;0,583187857941304;0,000485706355814599;1;0,359837724031245;275
151;0,5937460795046;0;1;0,382800481032783;275
162;0,513002501447304;0;1;0,396392802657114;275
166;0,479008324260862;0;1;0,428997697986405;275
180;0,517631582225143;0;1;0,389382849645179;275
184;0,465852072560807;0;1;0,406856455559459;275
189;0,460495470218726;0;1;0,357323754312753;275
199;0,43040699263248;0;1;0,403616090980402;275
41;0,516515345315537;0;1;0,387501714037012;275
53;0,580319048411639;0;1;0,394054490416086;275
Betamba_1;0,635600667776926;4e-04;1;0,373483323622916;275
Betamba_2;0,658173329229452;0,006;1;0,31741940141393;275
Betamba_3;0,536976621905014;0,000206782464846981;1;0,392550429953182;275
Betamba_4;0,652621623196322;0;1;0,382501135005106;275
FRM 102;0,636476405893123;0,0066;1;0,379223499794809;275
FRM 15;0,618200496422532;0,00163444086379968;1;0,397934036309442;275
FRM 162;0,606971106406653;0;1;0,429649813296118;275
FRM 227;0,536222069470073;0;1;0,402320810220882;275
FRM 289;0,565364876871051;0;1;0,430132135121672;275
FRM 373;0,570614614566895;2,44956948816246e-05;1;0,414977450734289;275
FRM 39;0,599812011716204;2e-04;1;0,403699998533896;275
FRM 408;0,676670323864662;4,89883897516289e-05;1;0,405361883668155;275
FRM 546;0,568618736862569;0;1;0,42815501055298;275
FRM 627;0,660408125956535;0;1;0,410119103801325;275
FRM 80;0,566811289672949;0,0021;1;0,420121081345756;275
GIL1;0,468315376774086;0;1;0,434266853312545;275
GIL2;0,51572431294482;0;1;0,437982650549478;275
GIL3;0,507738785699058;9,75990630489947e-05;1;0,42099529000214;275
JEU-L2;0,472656109514803;0;1;0,424438301605523;275
JEU-L6B;0,467509542263368;0;1;0,430523215792775;275
JEU2;0,798497274173831;3e-04;1;0,303845413146592;275
JEU3;0,797793094564159;0,0334630350194553;1;0,270527841297601;275
JEU4;0,749511545169444;0,0042;1;0,30532393659967;275
JEU5;0,821980818777064;0,00576747951027016;1;0,260962792580396;275
LOP01h;0,976488624395394;0,696516264815567;1;0,0558895192159035;275
LOP02h;0,938252121987858;0,560149543062864;1;0,0941983165342656;275
LOP03h;0,905846840706563;0,376201928625174;1;0,136101349987942;275
LOP07h;0,411751959573542;0,000486523304466284;1;0,422885324753641;275
LOP08h;0,444561618083922;0,000389105058365759;1;0,450132446049331;275
LOP09h;0,327036826382434;0,00137769160118379;1;0,378450826490572;275
LOP10h;0,438902108609142;0,00369685767097967;1;0,39435331387561;275
LOP11h;0,466808722421042;0,002042602859644;1;0,403387583512583;275
LOP12h;0,487050582181959;0,000583714369102053;1;0,394774296498092;275
LPG01h;0,431819246285422;0,0013782840972849;1;0,407424216646966;275
LPG02h;0,374508276505602;0,00207182320441989;1;0,389614354738191;275
Lokofa_1;0,765306505291264;0,000240658292992216;1;0,283248847993882;275
Lokofa_2;0,643683559156183;0;1;0,382405279099515;275
Lokofa_3;0,723946723737253;2,63400500460951e-05;1;0,345579046682794;275
