plot_ref;site;H_mean;H_95;H_Lor;n_tree;DBH_mean;QMD;G;WD_BA;WD_mean;AGB_Chave;H_mean_20;WD_mean_20;QMD_20;AGB_Bastin_20
123;Malebo;19,4940414507772;33;26,0889204666677;386;24,6863212435233;29,5073545938895;26,3959767657002;0,74903564436882;0,711641590236333;345,563204782683;29,55;0,821892440087992;80,1891638564713;392,586460395133
148;Malebo;22,3585635359116;38,8;31,4899612091917;181;33,3555248618785;39,4853887585568;22,1636504824941;0,690298572170951;0,695009329989596;308,534610365225;34,88;0,670677971467253;82,1221224762244;386,55115374622
162;Malebo;19,2005730659026;34,6;27,946290483976;349;27,0822349570201;33,6683806669332;31,0713244523275;0,67639888660562;0,673188310413096;385,60603378416;33,8;0,678465372110214;96,2787619363689;452,563659684944
166;Malebo;18,0768571428571;30;26,4257302443667;350;24,672;30,934319360311;26,3050453769613;0,631734285939406;0,649684665998923;288,126981371296;29,75;0,632608938616109;85,6727611321125;316,947071167639
180;Malebo;17,4547169811321;32,02;25,8339479346902;477;24,3182389937107;30,0516313213339;33,8333004014263;0,631656607537616;0,641690554567454;360,89258556269;33,465;0,600178747855362;88,6727382006443;354,761940071628
184;Malebo;18,5903896103896;33,66;29,3206814012092;385;23,9106493506494;31,0231928322424;29,1020508695458;0,687912246838358;0,67379060339251;385,750538614444;34,245;0,686227461343801;94,3241087951538;454,591124233253
189;Malebo;18,5889937106918;34,275;29,7488361624085;318;25,3358490566038;33,9687536776829;28,8188221546577;0,700126455914726;0,671962384457375;397,835585520289;32,25;0,711800309976984;102,290757158211;485,279671405972
199;Malebo;19,4931216931217;35,015;31,3036839860256;378;24,4616402116402;31,6005630014812;29,6463561441233;0,73090606449878;0,691354737411217;445,039673257352;36,445;0,746752390651574;95,3262949033476;543,329222287542
41;Malebo;17,1076246334311;29;26,2826472916259;341;25,68357771261;31,538243321226;26,6390822844377;0,698174916972418;0,685896440530775;319,787366825756;30,59;0,67595146519484;87,2446703243241;359,957801606268
53;Malebo;18,7727688787185;35;26,0596462079189;437;20,2553775743707;23,4650477693787;18,8979285944224;0,712967096210527;0,715512982152334;235,823835757424;31,385;0,724032967877942;60,6828847369668;265,473790764404
Betamba_1;Betamba;16,4041833918259;27,585;24,0827241142072;464;20,473275862069;24,3975205424791;21,6919825607088;0,482952918220068;0,431986184452857;181,679292030776;32,27;0,547524108561146;70,5185826573393;236,65435285725
Betamba_2;Betamba;15,7622931016616;22,22;23,2672249681587;601;19,0314475873544;21,7571198207661;22,344320923458;0,466485920244863;0,424528609492443;179,536807849478;29,6255;0,541188707014302;63,9104529791489;189,619826875896
Betamba_3;Betamba;12,6976474634479;26,16;20,2923168500781;343;18,7265306122449;22,3974527393815;13,5139173701827;0,467313882724366;0,459189546294358;88,7019129279788;25,6895;0,454396078825915;59,4478258643662;121,920909024336
Betamba_4;Betamba;14,7567282325656;22,5525;18,2360818202127;456;20,3223684210526;22,7626637204244;18,5567060791491;0,388442956479716;0,417842593797534;93,9225384145607;23,289;0,424903109837108;50,9889693953506;84,9635922304164
GIL1;Yangambi;17,3992161442398;31,63535671;27,5313307784111;342;26,0990838403509;34,4082036282825;31,8009421544232;0,670021289085385;0,675900197374317;382,555665771713;32,1012746405;0,673037012987013;97,9034811758355;431,106494972421
GIL2;Yangambi;17,4439190338161;29,089683356;24,9802283693763;435;25,1709945283908;30,6737100608479;32,1448759868128;0,675164591028605;0,679711679369825;359,012234136534;30,8056010715;0,680558311688312;81,8626643002783;340,184420396276
GIL3;Yangambi;17,0519414893617;30,9;25,5196102075079;376;25,7993549024202;32,1812361720349;30,5832173652495;0,673235427502365;0,653733974085753;348,525395618949;30,2165;0,694836783461431;85,8601548707862;359,661811327721
JEU-L6B;Yangambi;17,6978443696512;28,6120205405;25,8972643656614;430;25,0811627906977;30,4074191528134;31,2260793064433;0,644903399399444;0,634757315584483;347,623402057634;33,283725002;0,660995720847279;81,6364379428696;358,159657715418
