Temperament;plot_ref;Proportion;Type_Proportion;Type_subdivision
héliophile;123;4,17922468616042;G.rel;3
héliophile non pionnière;123;36,5936750260878;G.rel;3
tolérante à l'ombrage;123;59,2271002877518;G.rel;3
héliophile;148;5,10495216309423;G.rel;3
héliophile non pionnière;148;40,9384439789642;G.rel;3
tolérante à l'ombrage;148;53,9566038579416;G.rel;3
héliophile;162;6,08360364517652;G.rel;3
héliophile non pionnière;162;59,4069972558612;G.rel;3
tolérante à l'ombrage;162;34,5093990989623;G.rel;3
héliophile;166;6,31935357088283;G.rel;3
héliophile non pionnière;166;70,2338004747143;G.rel;3
tolérante à l'ombrage;166;23,4468459544029;G.rel;3
héliophile;180;11,4305326111561;G.rel;3
héliophile non pionnière;180;18,0304736142975;G.rel;3
tolérante à l'ombrage;180;70,5389937745464;G.rel;3
héliophile;184;6,65235741791403;G.rel;3
héliophile non pionnière;184;52,4020501266875;G.rel;3
tolérante à l'ombrage;184;40,9455924553984;G.rel;3
héliophile;189;5,04011141385232;G.rel;3
héliophile non pionnière;189;51,9136329661374;G.rel;3
tolérante à l'ombrage;189;43,0462556200103;G.rel;3
héliophile;199;3,57860349892662;G.rel;3
héliophile non pionnière;199;42,1205317122439;G.rel;3
tolérante à l'ombrage;199;54,3008647888294;G.rel;3
héliophile;41;12,923905899202;G.rel;3
héliophile non pionnière;41;22,3906945054655;G.rel;3
tolérante à l'ombrage;41;64,6853995953326;G.rel;3
héliophile;53;8,49382211905145;G.rel;3
héliophile non pionnière;53;20,2006392107181;G.rel;3
tolérante à l'ombrage;53;71,3055386702304;G.rel;3
héliophile;Betamba_1;56,989957687883;G.rel;3
héliophile non pionnière;Betamba_1;25,4653426759621;G.rel;3
tolérante à l'ombrage;Betamba_1;17,5446996361549;G.rel;3
héliophile;Betamba_2;71,6403823957078;G.rel;3
héliophile non pionnière;Betamba_2;21,130688826075;G.rel;3
tolérante à l'ombrage;Betamba_2;7,22892877821729;G.rel;3
héliophile;Betamba_3;59,2422807891143;G.rel;3
héliophile non pionnière;Betamba_3;20,8660541043471;G.rel;3
tolérante à l'ombrage;Betamba_3;19,8916651065386;G.rel;3
héliophile;Betamba_4;77,6343064731942;G.rel;3
héliophile non pionnière;Betamba_4;10,1202110848414;G.rel;3
tolérante à l'ombrage;Betamba_4;12,2454824419644;G.rel;3
héliophile;GIL1;4,14034045757843;G.rel;3
héliophile non pionnière;GIL1;3,03437993387475;G.rel;3
tolérante à l'ombrage;GIL1;92,8252796085468;G.rel;3
héliophile;GIL2;7,45068633807007;G.rel;3
héliophile non pionnière;GIL2;7,91580839892068;G.rel;3
tolérante à l'ombrage;GIL2;84,6335052630093;G.rel;3
héliophile;GIL3;12,506417563066;G.rel;3
héliophile non pionnière;GIL3;9,50562594041764;G.rel;3
tolérante à l'ombrage;GIL3;77,9879564965164;G.rel;3
héliophile;JEU-L6B;7,21575646626561;G.rel;3
héliophile non pionnière;JEU-L6B;25,9071657831103;G.rel;3
tolérante à l'ombrage;JEU-L6B;66,8770777506241;G.rel;3
héliophile;JEU2;97,6346271923248;G.rel;3
héliophile non pionnière;JEU2;1,83132709092735;G.rel;3
tolérante à l'ombrage;JEU2;0,534045716747891;G.rel;3
héliophile;JEU3;92,4641907267643;G.rel;3
héliophile non pionnière;JEU3;5,10725957256789;G.rel;3
tolérante à l'ombrage;JEU3;2,42854970066782;G.rel;3
héliophile;JEU4;83,0275596934624;G.rel;3
héliophile non pionnière;JEU4;8,66234002158358;G.rel;3
tolérante à l'ombrage;JEU4;8,31010028495403;G.rel;3
héliophile;Lokofa_1;24,7704373200959;G.rel;3
héliophile non pionnière;Lokofa_1;47,1172737086163;G.rel;3
tolérante à l'ombrage;Lokofa_1;28,1122889712879;G.rel;3
héliophile;Lokofa_2;25,7434342954975;G.rel;3
héliophile non pionnière;Lokofa_2;25,9304492079196;G.rel;3
tolérante à l'ombrage;Lokofa_2;48,3261164965829;G.rel;3
héliophile;Lokofa_3;23,0115739093268;G.rel;3
héliophile non pionnière;Lokofa_3;36,2922325831278;G.rel;3
tolérante à l'ombrage;Lokofa_3;40,6961935075454;G.rel;3
héliophile;Lokofa_4;19,5443613304945;G.rel;3
héliophile non pionnière;Lokofa_4;26,0400824894556;G.rel;3
tolérante à l'ombrage;Lokofa_4;54,4155561800499;G.rel;3
héliophile;M2P1;15,4810355436667;G.rel;3
héliophile non pionnière;M2P1;32,5609955939101;G.rel;3
tolérante à l'ombrage;M2P1;51,9579688624233;G.rel;3
héliophile;M2P10;6,69558386349674;G.rel;3
héliophile non pionnière;M2P10;27,4414822287035;G.rel;3
tolérante à l'ombrage;M2P10;65,8629339077998;G.rel;3
héliophile;M2P11;7,58767264786432;G.rel;3
héliophile non pionnière;M2P11;22,0652340462622;G.rel;3
tolérante à l'ombrage;M2P11;70,3470933058735;G.rel;3
héliophile;M2P12;9,10336361635011;G.rel;3
héliophile non pionnière;M2P12;51,6709196846034;G.rel;3
tolérante à l'ombrage;M2P12;39,2257166990465;G.rel;3
héliophile;M2P13;5,92087902883632;G.rel;3
héliophile non pionnière;M2P13;23,9533902764028;G.rel;3
tolérante à l'ombrage;M2P13;70,1257306947609;G.rel;3
héliophile;M2P14;11,4963812559484;G.rel;3
héliophile non pionnière;M2P14;86,5458981191331;G.rel;3
tolérante à l'ombrage;M2P14;1,95772062491853;G.rel;3
héliophile;M2P15;44,1765276822745;G.rel;3
héliophile non pionnière;M2P15;42,3730346174872;G.rel;3
tolérante à l'ombrage;M2P15;13,4504377002383;G.rel;3
héliophile;M2P16;25,8232868328363;G.rel;3
héliophile non pionnière;M2P16;37,9801263579718;G.rel;3
tolérante à l'ombrage;M2P16;36,1965868091919;G.rel;3
héliophile;M2P2;6,63822747542727;G.rel;3
héliophile non pionnière;M2P2;42,4068565866676;G.rel;3
tolérante à l'ombrage;M2P2;50,9549159379051;G.rel;3
héliophile;M2P9;28,3816470571729;G.rel;3
héliophile non pionnière;M2P9;19,9978430656672;G.rel;3
tolérante à l'ombrage;M2P9;51,62050987716;G.rel;3
héliophile;MAB01h;1,00983459314163;G.rel;3
héliophile non pionnière;MAB01h;21,2989256702205;G.rel;3
tolérante à l'ombrage;MAB01h;77,6912397366378;G.rel;3
héliophile;MAB02h;5,46358001965594;G.rel;3
héliophile non pionnière;MAB02h;26,2283206364633;G.rel;3
tolérante à l'ombrage;MAB02h;68,3080993438808;G.rel;3
héliophile;MAB03h;5,5780508815275;G.rel;3
héliophile non pionnière;MAB03h;25,4264451135808;G.rel;3
tolérante à l'ombrage;MAB03h;68,9955040048918;G.rel;3
héliophile;MAB04h;22,8512555924755;G.rel;3
héliophile non pionnière;MAB04h;17,37821669309;G.rel;3
tolérante à l'ombrage;MAB04h;59,7705277144345;G.rel;3
héliophile;MAB05h;13,6464545253348;G.rel;3
héliophile non pionnière;MAB05h;21,0844439627338;G.rel;3
tolérante à l'ombrage;MAB05h;65,2691015119314;G.rel;3
héliophile;MAB06h;1,61976287295725;G.rel;3
héliophile non pionnière;MAB06h;18,8212320352178;G.rel;3
tolérante à l'ombrage;MAB06h;79,5590050918249;G.rel;3
héliophile;MAB07h;12,5170720606483;G.rel;3
héliophile non pionnière;MAB07h;16,780908383956;G.rel;3
tolérante à l'ombrage;MAB07h;70,7020195553957;G.rel;3
héliophile;MAB08h;1,06409500838337;G.rel;3
héliophile non pionnière;MAB08h;17,1708279972792;G.rel;3
tolérante à l'ombrage;MAB08h;81,7650769943374;G.rel;3
héliophile;MAB09h;6,62288361844037;G.rel;3
héliophile non pionnière;MAB09h;34,9483219894018;G.rel;3
tolérante à l'ombrage;MAB09h;58,4287943921579;G.rel;3
héliophile;MAB10h;14,807512643502;G.rel;3
héliophile non pionnière;MAB10h;21,9197533318538;G.rel;3
tolérante à l'ombrage;MAB10h;63,2727340246442;G.rel;3
héliophile;MAB11h;3,09743595763107;G.rel;3
héliophile non pionnière;MAB11h;57,7090486318407;G.rel;3
tolérante à l'ombrage;MAB11h;39,1935154105282;G.rel;3
héliophile;MAB12h;47,5460317343373;G.rel;3
héliophile non pionnière;MAB12h;11,1219139036402;G.rel;3
tolérante à l'ombrage;MAB12h;41,3320543620225;G.rel;3
héliophile;MIX-L6A;1,07039925606251;G.rel;3
héliophile non pionnière;MIX-L6A;27,4317466899393;G.rel;3
tolérante à l'ombrage;MIX-L6A;71,4978540539982;G.rel;3
héliophile;MIX-L7A;5,60923283314469;G.rel;3
héliophile non pionnière;MIX-L7A;16,0918098603184;G.rel;3
tolérante à l'ombrage;MIX-L7A;78,2989573065369;G.rel;3
héliophile;MIX2;1,38247158661037;G.rel;3
héliophile non pionnière;MIX2;33,9385541169351;G.rel;3
tolérante à l'ombrage;MIX2;64,6789742964545;G.rel;3
héliophile;MIX6;4,10523084653285;G.rel;3
héliophile non pionnière;MIX6;29,957037838017;G.rel;3
tolérante à l'ombrage;MIX6;65,9377313154502;G.rel;3
héliophile;Model_OR_lidar_87_Principal;22,4990631726994;G.rel;3
héliophile non pionnière;Model_OR_lidar_87_Principal;31,992504242986;G.rel;3
tolérante à l'ombrage;Model_OR_lidar_87_Principal;45,5084325843146;G.rel;3
héliophile;Modele_2406_Principal;8,6200916843072;G.rel;3
héliophile non pionnière;Modele_2406_Principal;18,4311546443041;G.rel;3
tolérante à l'ombrage;Modele_2406_Principal;72,9487536713887;G.rel;3
héliophile;Modele_4301_Principal;18,1537937010639;G.rel;3
héliophile non pionnière;Modele_4301_Principal;28,9614394732582;G.rel;3
tolérante à l'ombrage;Modele_4301_Principal;52,8847668256779;G.rel;3
héliophile;Modele_4402_Principal;8,61086574307945;G.rel;3
héliophile non pionnière;Modele_4402_Principal;16,013186450179;G.rel;3
tolérante à l'ombrage;Modele_4402_Principal;75,3759478067415;G.rel;3
héliophile;Modele_4503_Principal;27,0440551100714;G.rel;3
héliophile non pionnière;Modele_4503_Principal;60,8537969253324;G.rel;3
tolérante à l'ombrage;Modele_4503_Principal;12,1021479645963;G.rel;3
héliophile;Modele_MA_lidar_205_principal;4,74602138430441;G.rel;3
héliophile non pionnière;Modele_MA_lidar_205_principal;25,8279154559422;G.rel;3
tolérante à l'ombrage;Modele_MA_lidar_205_principal;69,4260631597534;G.rel;3
héliophile;PARAP_Gungu_5;30,0359639659303;G.rel;3
héliophile non pionnière;PARAP_Gungu_5;29,6449806592037;G.rel;3
tolérante à l'ombrage;PARAP_Gungu_5;40,319055374866;G.rel;3
héliophile;PARAP_Idiofa_6;12,6282517230371;G.rel;3
héliophile non pionnière;PARAP_Idiofa_6;59,4717856735481;G.rel;3
tolérante à l'ombrage;PARAP_Idiofa_6;27,8999626034148;G.rel;3
héliophile;PARAP_Luhudi_5;44,1915918072202;G.rel;3
héliophile non pionnière;PARAP_Luhudi_5;31,4997872542789;G.rel;3
tolérante à l'ombrage;PARAP_Luhudi_5;24,3086209385009;G.rel;3
héliophile;PARAP_Lukolela_53;31,8341084824958;G.rel;3
héliophile non pionnière;PARAP_Lukolela_53;12,4511061599584;G.rel;3
tolérante à l'ombrage;PARAP_Lukolela_53;55,7147853575458;G.rel;3
héliophile;PARAP_Mampulu_28;27,4922056046323;G.rel;3
héliophile non pionnière;PARAP_Mampulu_28;47,4378379194386;G.rel;3
tolérante à l'ombrage;PARAP_Mampulu_28;25,0699564759291;G.rel;3
héliophile;PARAP_Mangai_16;6,24268485583863;G.rel;3
héliophile non pionnière;PARAP_Mangai_16;4,44773771392283;G.rel;3
tolérante à l'ombrage;PARAP_Mangai_16;89,3095774302385;G.rel;3
héliophile;PARAP_Maniema_178;13,9805265708763;G.rel;3
héliophile non pionnière;PARAP_Maniema_178;45,6635256140319;G.rel;3
tolérante à l'ombrage;PARAP_Maniema_178;40,3559478150918;G.rel;3
héliophile;PARAP_Mashambio_26;1,40350236316918;G.rel;3
héliophile non pionnière;PARAP_Mashambio_26;74,6045316814602;G.rel;3
tolérante à l'ombrage;PARAP_Mashambio_26;23,9919659553706;G.rel;3
héliophile;PARAP_SwaKibula_234;29,7837836839732;G.rel;3
héliophile non pionnière;PARAP_SwaKibula_234;39,9764119783038;G.rel;3
tolérante à l'ombrage;PARAP_SwaKibula_234;30,239804337723;G.rel;3
héliophile;WWF-DIAF_07_01_Principal;28,5652866588026;G.rel;3
héliophile non pionnière;WWF-DIAF_07_01_Principal;61,736977360638;G.rel;3
tolérante à l'ombrage;WWF-DIAF_07_01_Principal;9,69773598055941;G.rel;3
héliophile;WWF-DIAF_08_02_Principal;12,3048187219172;G.rel;3
héliophile non pionnière;WWF-DIAF_08_02_Principal;21,4996193331732;G.rel;3
tolérante à l'ombrage;WWF-DIAF_08_02_Principal;66,1955619449096;G.rel;3
héliophile;WWF-DIAF_11_05_Principal;8,16214143916596;G.rel;3
