metric;correlation;p_value
prop_at_20m;-0,511742367189882;1,70013512275363e-09
GVN;-0,463300464137164;7,71408426418438e-08
min_d2;0,455512301796289;1,35051525114721e-07
h90;0,454160472274391;1,48628771580163e-07
prop_at_25m;-0,446038289963898;2,62012163944923e-07
prop_at_15m;-0,445049637028707;2,80451649288841e-07
upper_thickness;-0,441037262580134;3,68787745682689e-07
h75;0,440251420467716;3,88945832593483e-07
prop_at_10m;-0,425125765954579;1,05587588685679e-06
max_d1;-0,419096181476769;1,55142814132485e-06
auc;-0,415118287631394;1,99170762368913e-06
h50;0,400748278362748;4,78378779423623e-06
log_max_d1;-0,394126964281999;7,06731872112375e-06
Smax;-0,392610189157291;7,71914023338949e-06
IDT;0,381927267135784;1,41948088405128e-05
anisotropy_squared;0,372347823368868;2,40784995366833e-05
height_min_d2;0,370861532974053;2,60972282978141e-05
ROS;0,364044670791833;3,75649044518417e-05
prop_at_5m;-0,362949481202018;3,97984078311543e-05
h25;0,362605439891256;4,05253326947807e-05
basal_thickness;0,360950428617897;4,4199391177251e-05
anisotropy_max;0,358221582553569;5,09459712119635e-05
logistic_h0;0,34394480067978;0,000104923340356972
max_d2;-0,33808192864408;0,000139772569421446
IDV;0,336034035821315;0,000154293506831621
h50_squared;0,322208695072977;0,000295409328483364
hSmax;0,320885306728952;0,000313855458373718
height_max_d1;0,317656459487051;0,00036341929301497
dominant_height_medium;0,313007804700886;0,000447552054602625
transition_r2;0,306300618115215;0,000600852048431191
height_max_d2;0,298070365444113;0,000854418130601998
IPN;-0,29481867907645;0,000979176951918301
prop_at_30m;-0,294395442562988;0,00099658655752109
h10;0,293593654764286;0,00103034558397061
anisotropy_ratio;-0,293375826804514;0,00103969596123899
anisotropy_mean;0,270406114027988;0,00259265652273615
dominant_height_small;0,269724152680619;0,00266087318028185
logistic_R2;0,26704366140047;0,00294497697603612
upper_norm_auc;-0,239048805155473;0,00800733788187207
logistic_k;-0,235695842282417;0,0089627044452583
transition_slope;-0,217751528586684;0,0159800774454757
log_transition_thickness;0,215227022653872;0,017276988019176
deceleration_phase;0,205856427387294;0,0229195893919161
ET;0,202944341624361;0,0249677702427976
dominant_height_large;0,197671895904604;0,0290753534690804
height_max_anisotropy;0,19527225698312;0,0311271179437861
prop_at_35m;-0,182412306008182;0,0443282469075249
ISA;0,181748836661297;0,0451199243943184
asymmetry_ratio;-0,174743366377286;0,054220232440141
phase_ratio;0,174743366377286;0,054220232440141
roughness_large;-0,173394505061917;0,056135415178733
logistic_a;0,169442877954495;0,0620684617123864
HPSI;0,163540058366769;0,0718761639255265
transition_thickness;0,154635239306656;0,0890060245150302
basal_norm_auc;-0,152831208931831;0,0928433739496723
energy_slope;0,151325717186714;0,0961450820998962
ICT;-0,14701990701815;0,106101946488256
ICV;0,145536791813751;0,109712592333281
IAS;-0,129955730330445;0,153669610293894
RT;-0,129955730330445;0,153669610293894
logistic_b;0,124843427584686;0,170651976730903
anisotropy_transition;0,106649010242407;0,242327884304405
roughness_medium;-0,10367409340124;0,255791454292167
energy_ratio_small_large;-0,100879493005563;0,268898454358205
roughness_small;-0,0932107232682182;0,307172688286242
zone_heterogeneity_index;0,0792026447597206;0,385843790622397
acceleration_phase;0,0748591385475012;0,412509804525999
prop_at_40m;-0,0623571531499241;0,495029486484346
transition_norm_auc;-0,0552081544791628;0,545858692973919
ratio_basal_transition;0,0213940099321075;0,815063632058279
CSI;0,00316284058647719;0,972418506255929
