Acronyme,Nom complet,Formule,Source,Type de métrique,Interprétation écologique
prop_at_10m,Proportion de trouées à 10m,NA,Données de proportion brutes,Métrique de base - Proportion directe,Mesure la proportion d'ouverture de la canopée à une hauteur fixe de 10m; valeurs élevées indiquent une canopée plus ouverte à cette hauteur
prop_at_20m,Proportion de trouées à 20m,NA,Données de proportion brutes,Métrique de base - Proportion directe,Mesure la proportion d'ouverture de la canopée à une hauteur fixe de 20m; valeurs élevées indiquent une canopée plus ouverte à cette hauteur
prop_at_30m,Proportion de trouées à 30m,NA,Données de proportion brutes,Métrique de base - Proportion directe,Mesure la proportion d'ouverture de la canopée à une hauteur fixe de 30m; valeurs élevées indiquent une canopée plus ouverte à cette hauteur
h10,Hauteur à 10% de trouées,NA,Données de proportion brutes,Métrique de base - Hauteur seuil,Hauteur à laquelle la proportion de trouées atteint 10%; indique le début de la zone où la canopée commence à se fermer significativement
h25,Hauteur à 25% de trouées,NA,Données de proportion brutes,Métrique de base - Hauteur seuil,Hauteur à laquelle la proportion de trouées atteint 25%; marque le début de la zone de transition de la canopée
h50,Hauteur à 50% de trouées,NA,Données de proportion brutes,Métrique de base - Hauteur seuil,Hauteur à laquelle la proportion de trouées atteint 50%; point médian de la transition de la canopée (équivalent au h0 logistique); corrélée positivement avec WD
h75,Hauteur à 75% de trouées,NA,Données de proportion brutes,Métrique de base - Hauteur seuil,Hauteur à laquelle la proportion de trouées atteint 75%; marque la fin de la zone de transition principale
h90,Hauteur à 90% de trouées,NA,Données de proportion brutes,Métrique de base - Hauteur seuil,Hauteur à laquelle la proportion de trouées atteint 90%; indique la hauteur approximative de la canopée supérieure
P0,Proportion initiale de trouées,NA,Données de proportion brutes,Métrique de base - Valeur limite,Proportion de trouées au niveau le plus bas (souvent au sol); valeurs basses indiquent un sous-étage fermé; corrélée négativement avec WD
Pmax,Proportion maximale de trouées,NA,Données de proportion brutes,Métrique de base - Valeur limite,Proportion maximale de trouées atteinte; généralement proche de 1 mais peut être inférieure dans des canopées très denses
Smax,Pente maximale,NA,Données de proportion brutes,Métrique de base - Taux de changement,Taux maximal de changement de la proportion de trouées avec la hauteur; valeur élevée indique une transition abrupte; corrélée négativement avec WD
hSmax,Hauteur à pente maximale,NA,Données de proportion brutes,Métrique de base - Position,Hauteur à laquelle la pente est maximale; souvent proche de h50; indique le point d'inflexion de la courbe de transition
decay_rate,Taux de décroissance moyen,NA,Données de proportion brutes,Métrique de base - Taux global,Pente moyenne de la relation proportion-hauteur; valeur négative car la proportion de trouées diminue avec la hauteur
auc,Aire sous la courbe,NA,Données de proportion brutes,Métrique de base - Intégration,Intégrale de la courbe proportion-hauteur normalisée; mesure globale de l'ouverture de la canopée sur toute la hauteur
logistic_a,Asymptote inférieure logistique,NA,Ajustement logistique,Paramètre logistique,Niveau de base de la proportion de trouées (généralement proche de P0); valeurs basses indiquent un sous-étage fermé
logistic_b,Asymptote supérieure logistique,NA,Ajustement logistique,Paramètre logistique,Niveau maximal de la proportion de trouées (généralement proche de 1); représente l'ouverture au-dessus de la canopée
logistic_h0,Point d'inflexion logistique,NA,Ajustement logistique,Paramètre logistique,Hauteur du point d'inflexion de la courbe logistique (similaire à h50); corrélée positivement avec WD
