metric;correlation;p_value
prop_at_20m;-0,531828103125011;2,91064758609754e-10
decay_rate;0,483137372737926;1,7368461520492e-08
h90;0,475403855257235;3,14120145778757e-08
GVN;-0,464104414311475;7,27498002515163e-08
upper_thickness;-0,459934321207627;9,84345709980091e-08
h75;0,459092974890703;1,04575568732103e-07
min_d2;0,455707053312189;1,33195968261392e-07
ROS;0,450428627591532;1,93207855959944e-07
auc;-0,436745633686399;4,92373004364307e-07
prop_at_10m;-0,432314960894888;6,60819877433256e-07
h50;0,41693429454523;1,77773720278664e-06
max_d1;-0,411652554957086;2,46959263679105e-06
IDT;0,390414196458761;8,76408870580834e-06
Smax;-0,385555405034432;1,1569405930532e-05
h25;0,384676239140815;1,21599047556911e-05
log_max_d1;-0,383901437553455;1,27037383351824e-05
basal_thickness;0,382726293423716;1,35724838529142e-05
height_min_d2;0,375210257027858;2,05971415936584e-05
anisotropy_squared;0,373702702344866;2,236693660057e-05
anisotropy_max;0,359291034221174;4,81946051997542e-05
logistic_h0;0,353414483471845;6,52280066341193e-05
h50_squared;0,339094465018278;0,000133072362642976
IDV;0,331982928974419;0,000187235096306633
hSmax;0,329525146411123;0,000210286151714779
max_d2;-0,326023826929292;0,000247693511457709
height_max_d1;0,325713086707037;0,000251295036857553
h10;0,31995383941213;0,00032747100180059
prop_at_30m;-0,315952308650168;0,000392401402528879
dominant_height_medium;0,31401459892992;0,000427938265626041
height_max_d2;0,313132257219588;0,000445083453766445
anisotropy_ratio;-0,311704493016391;0,000474172895762917
P0;-0,308584989847739;0,000543920662783294
IPN;-0,296241052702616;0,000922686075369539
anisotropy_mean;0,294397596744806;0,000996497234527716
ISC;-0,288938520010517;0,00124786083706924
transition_r2;0,286000105951791;0,00140591862580467
dominant_height_small;0,274937741482182;0,00217805006946864
logistic_R2;0,270148648117114;0,00261822311860258
upper_norm_auc;-0,264535864265214;0,00323522557260799
logistic_k;-0,234831748304285;0,00922464766349918
dominant_height_large;0,220816103207203;0,0145199862472823
height_max_anisotropy;0,218016635850089;0,0158489190903889
transition_slope;-0,21736421095393;0,01617339143393
log_transition_thickness;0,212233384503554;0,0189321781954282
CPR;0,211551403471914;0,0193278435124227
deceleration_phase;0,200401499209043;0,0268823027223025
ET;0,197753462123244;0,029007681583788
ISA;0,178175970452581;0,0495881794933957
HPSI;0,176215403415423;0,0521919283160374
asymmetry_ratio;-0,174496748968599;0,0545663136954346
phase_ratio;0,174496748968599;0,0545663136954346
roughness_large;-0,173845875672804;0,0554884374989836
logistic_a;0,16893573842863;0,0628656897389855
basal_norm_auc;-0,162547930085558;0,0736414944806802
transition_thickness;0,148954877406475;0,10153192184903
ICV;0,144208003633831;0,113028328627084
ICT;-0,140104816219725;0,123760464885731
energy_slope;0,135022651984065;0,138122180805765
logistic_b;0,119270281985541;0,190704597805294
zone_heterogeneity_index;0,109379197595064;0,230412238166302
roughness_medium;-0,102731009952116;0,260164703112435
IAS;-0,102715306356047;0,260237953399685
RT;-0,102715306356047;0,260237953399685
Pmax;-0,0949243969028705;0,298325374218687
roughness_small;-0,09218024088646;0,312574600591736
energy_ratio_small_large;-0,0853048736566775;0,350186452073222
anisotropy_transition;0,0777825695819467;0,394445401819312
acceleration_phase;0,06656335602125;0,466334472694622
ratio_basal_transition;0,0311816474205507;0,733141283751468
transition_norm_auc;-0,0300014919584904;0,742881571118783
CSI;0,0208315043313639;0,819842532658591
