Temperament;plot_ref;Proportion;Type_Proportion;Type_subdivision
héliophile;123;4,179224686160420;G.rel;3
héliophile non pionnière;123;36,593675026087801;G.rel;3
tolérante à l'ombrage;123;59,227100287751803;G.rel;3
héliophile;148;5,104952163094230;G.rel;3
héliophile non pionnière;148;40,938443978964202;G.rel;3
tolérante à l'ombrage;148;53,956603857941602;G.rel;3
héliophile;162;6,083603645176520;G.rel;3
héliophile non pionnière;162;59,406997255861199;G.rel;3
tolérante à l'ombrage;162;34,509399098962298;G.rel;3
héliophile;166;6,319353570882830;G.rel;3
héliophile non pionnière;166;70,233800474714300;G.rel;3
tolérante à l'ombrage;166;23,446845954402900;G.rel;3
héliophile;180;11,430532611156099;G.rel;3
héliophile non pionnière;180;18,030473614297499;G.rel;3
tolérante à l'ombrage;180;70,538993774546398;G.rel;3
héliophile;184;6,652357417914030;G.rel;3
héliophile non pionnière;184;52,402050126687499;G.rel;3
tolérante à l'ombrage;184;40,945592455398398;G.rel;3
héliophile;189;5,040111413852320;G.rel;3
héliophile non pionnière;189;51,913632966137399;G.rel;3
tolérante à l'ombrage;189;43,046255620010299;G.rel;3
héliophile;199;3,578603498926620;G.rel;3
héliophile non pionnière;199;42,120531712243903;G.rel;3
tolérante à l'ombrage;199;54,300864788829401;G.rel;3
héliophile;41;12,923905899202000;G.rel;3
héliophile non pionnière;41;22,390694505465500;G.rel;3
tolérante à l'ombrage;41;64,685399595332598;G.rel;3
héliophile;53;8,493822119051449;G.rel;3
héliophile non pionnière;53;20,200639210718101;G.rel;3
tolérante à l'ombrage;53;71,305538670230405;G.rel;3
héliophile;Betamba_1;56,989957687882999;G.rel;3
héliophile non pionnière;Betamba_1;25,465342675962098;G.rel;3
tolérante à l'ombrage;Betamba_1;17,544699636154899;G.rel;3
héliophile;Betamba_2;71,640382395707803;G.rel;3
héliophile non pionnière;Betamba_2;21,130688826075001;G.rel;3
tolérante à l'ombrage;Betamba_2;7,228928778217290;G.rel;3
héliophile;Betamba_3;59,242280789114297;G.rel;3
héliophile non pionnière;Betamba_3;20,866054104347100;G.rel;3
tolérante à l'ombrage;Betamba_3;19,891665106538600;G.rel;3
héliophile;Betamba_4;77,634306473194201;G.rel;3
héliophile non pionnière;Betamba_4;10,120211084841401;G.rel;3
tolérante à l'ombrage;Betamba_4;12,245482441964400;G.rel;3
héliophile;GIL1;4,140340457578430;G.rel;3
héliophile non pionnière;GIL1;3,034379933874750;G.rel;3
tolérante à l'ombrage;GIL1;92,825279608546793;G.rel;3
héliophile;GIL2;7,450686338070070;G.rel;3
héliophile non pionnière;GIL2;7,915808398920680;G.rel;3
tolérante à l'ombrage;GIL2;84,633505263009297;G.rel;3
héliophile;GIL3;12,506417563066000;G.rel;3
héliophile non pionnière;GIL3;9,505625940417641;G.rel;3
tolérante à l'ombrage;GIL3;77,987956496516404;G.rel;3
héliophile;JEU-L6B;7,215756466265610;G.rel;3
héliophile non pionnière;JEU-L6B;25,907165783110301;G.rel;3
tolérante à l'ombrage;JEU-L6B;66,877077750624096;G.rel;3
héliophile;JEU2;97,634627192324800;G.rel;3
héliophile non pionnière;JEU2;1,831327090927350;G.rel;3
tolérante à l'ombrage;JEU2;0,534045716747891;G.rel;3
héliophile;JEU3;92,464190726764301;G.rel;3
héliophile non pionnière;JEU3;5,107259572567890;G.rel;3
tolérante à l'ombrage;JEU3;2,428549700667820;G.rel;3
héliophile;JEU4;83,027559693462393;G.rel;3
héliophile non pionnière;JEU4;8,662340021583580;G.rel;3
tolérante à l'ombrage;JEU4;8,310100284954030;G.rel;3
héliophile;Lokofa_1;24,770437320095901;G.rel;3
héliophile non pionnière;Lokofa_1;47,117273708616302;G.rel;3
tolérante à l'ombrage;Lokofa_1;28,112288971287899;G.rel;3
héliophile;Lokofa_2;25,743434295497501;G.rel;3
héliophile non pionnière;Lokofa_2;25,930449207919601;G.rel;3
tolérante à l'ombrage;Lokofa_2;48,326116496582898;G.rel;3
héliophile;Lokofa_3;23,011573909326799;G.rel;3
héliophile non pionnière;Lokofa_3;36,292232583127799;G.rel;3
tolérante à l'ombrage;Lokofa_3;40,696193507545402;G.rel;3
héliophile;Lokofa_4;19,544361330494500;G.rel;3
héliophile non pionnière;Lokofa_4;26,040082489455600;G.rel;3
tolérante à l'ombrage;Lokofa_4;54,415556180049897;G.rel;3
héliophile;M2P1;15,481035543666700;G.rel;3
héliophile non pionnière;M2P1;32,560995593910100;G.rel;3
tolérante à l'ombrage;M2P1;51,957968862423300;G.rel;3
héliophile;M2P10;6,695583863496740;G.rel;3
héliophile non pionnière;M2P10;27,441482228703499;G.rel;3
tolérante à l'ombrage;M2P10;65,862933907799800;G.rel;3
héliophile;M2P11;7,587672647864320;G.rel;3
héliophile non pionnière;M2P11;22,065234046262201;G.rel;3
tolérante à l'ombrage;M2P11;70,347093305873500;G.rel;3
héliophile;M2P12;9,103363616350110;G.rel;3
héliophile non pionnière;M2P12;51,670919684603398;G.rel;3
tolérante à l'ombrage;M2P12;39,225716699046501;G.rel;3
héliophile;M2P13;5,920879028836320;G.rel;3
héliophile non pionnière;M2P13;23,953390276402800;G.rel;3
tolérante à l'ombrage;M2P13;70,125730694760904;G.rel;3
héliophile;M2P14;11,496381255948400;G.rel;3
héliophile non pionnière;M2P14;86,545898119133099;G.rel;3
tolérante à l'ombrage;M2P14;1,957720624918530;G.rel;3
héliophile;M2P15;44,176527682274497;G.rel;3
héliophile non pionnière;M2P15;42,373034617487200;G.rel;3
tolérante à l'ombrage;M2P15;13,450437700238300;G.rel;3
héliophile;M2P16;25,823286832836299;G.rel;3
héliophile non pionnière;M2P16;37,980126357971798;G.rel;3
tolérante à l'ombrage;M2P16;36,196586809191899;G.rel;3
héliophile;M2P2;6,638227475427270;G.rel;3
héliophile non pionnière;M2P2;42,406856586667601;G.rel;3
tolérante à l'ombrage;M2P2;50,954915937905099;G.rel;3
héliophile;M2P9;28,381647057172898;G.rel;3
héliophile non pionnière;M2P9;19,997843065667201;G.rel;3
tolérante à l'ombrage;M2P9;51,620509877160003;G.rel;3
héliophile;MAB01h;1,009834593141630;G.rel;3
héliophile non pionnière;MAB01h;21,298925670220498;G.rel;3
tolérante à l'ombrage;MAB01h;77,691239736637797;G.rel;3
héliophile;MAB02h;5,463580019655940;G.rel;3
héliophile non pionnière;MAB02h;26,228320636463302;G.rel;3
tolérante à l'ombrage;MAB02h;68,308099343880798;G.rel;3
héliophile;MAB03h;5,578050881527500;G.rel;3
héliophile non pionnière;MAB03h;25,426445113580801;G.rel;3
tolérante à l'ombrage;MAB03h;68,995504004891799;G.rel;3
héliophile;MAB04h;22,851255592475500;G.rel;3
héliophile non pionnière;MAB04h;17,378216693090000;G.rel;3
tolérante à l'ombrage;MAB04h;59,770527714434500;G.rel;3
héliophile;MAB05h;13,646454525334800;G.rel;3
héliophile non pionnière;MAB05h;21,084443962733801;G.rel;3
tolérante à l'ombrage;MAB05h;65,269101511931396;G.rel;3
héliophile;MAB06h;1,619762872957250;G.rel;3
héliophile non pionnière;MAB06h;18,821232035217800;G.rel;3
tolérante à l'ombrage;MAB06h;79,559005091824901;G.rel;3
héliophile;MAB07h;12,517072060648299;G.rel;3
héliophile non pionnière;MAB07h;16,780908383956000;G.rel;3
tolérante à l'ombrage;MAB07h;70,702019555395694;G.rel;3
héliophile;MAB08h;1,064095008383370;G.rel;3
héliophile non pionnière;MAB08h;17,170827997279201;G.rel;3
tolérante à l'ombrage;MAB08h;81,765076994337406;G.rel;3
héliophile;MAB09h;6,622883618440370;G.rel;3
héliophile non pionnière;MAB09h;34,948321989401798;G.rel;3
tolérante à l'ombrage;MAB09h;58,428794392157897;G.rel;3
héliophile;MAB10h;14,807512643501999;G.rel;3
héliophile non pionnière;MAB10h;21,919753331853801;G.rel;3
tolérante à l'ombrage;MAB10h;63,272734024644201;G.rel;3
héliophile;MAB11h;3,097435957631070;G.rel;3
héliophile non pionnière;MAB11h;57,709048631840702;G.rel;3
tolérante à l'ombrage;MAB11h;39,193515410528200;G.rel;3
héliophile;MAB12h;47,546031734337298;G.rel;3
héliophile non pionnière;MAB12h;11,121913903640200;G.rel;3
tolérante à l'ombrage;MAB12h;41,332054362022497;G.rel;3
héliophile;MIX-L6A;1,070399256062510;G.rel;3
héliophile non pionnière;MIX-L6A;27,431746689939299;G.rel;3
tolérante à l'ombrage;MIX-L6A;71,497854053998196;G.rel;3
héliophile;MIX-L7A;5,609232833144690;G.rel;3
héliophile non pionnière;MIX-L7A;16,091809860318399;G.rel;3
tolérante à l'ombrage;MIX-L7A;78,298957306536906;G.rel;3
héliophile;MIX2;1,382471586610370;G.rel;3
héliophile non pionnière;MIX2;33,938554116935101;G.rel;3
tolérante à l'ombrage;MIX2;64,678974296454498;G.rel;3
héliophile;MIX6;4,105230846532850;G.rel;3
héliophile non pionnière;MIX6;29,957037838017001;G.rel;3
tolérante à l'ombrage;MIX6;65,937731315450193;G.rel;3
