species,CA1,CA2,CA3,CA4,CA5
Annickia chlorantha,0.005801731033956098,0.07172647147648838,0.017816178064729613,4.107988693204935e-6,0.039483214886612654
Barteria fistulosa,0.6764291104825485,4.255004774180147,21.95413261245241,0.05969586825816699,0.2941858717352169
Canarium schweinfurthii,0.03822041137208743,0.00596809120562878,0.005711262465209678,4.562018184819927e-4,2.867052804993184e-4
Chaetocarpus africanus,0.02884772019041095,1.0771565198042365,0.15612187786999523,0.08860276120443093,0.002711375772054818
Chrysophyllum lacourtianum,0.02660874626996827,0.014096146296079824,0.007453249980948012,0.004891061668045092,0.08508836725151389
Cola griseiflora,0.0017143919300554743,0.4138410029426711,0.1423047689586691,0.027266388187315714,0.5115400475224526
Copaifera NA,0.0023108551385335337,0.038863929782278345,0.010150432346875184,1.3124571398434429e-5,0.023094538826368353
Dacryodes edulis,0.011157015176067356,0.2840545562105415,0.08172775711405532,0.0013071576284803853,0.0725627421833661
Dialium pachyphyllum,0.022306709708388623,0.036006591733566184,0.025840403838743083,0.0470614493040448,0.1906458325149331
Dialium zenkeri,0.0031915453212625904,0.09906665753994429,0.007569535884587181,5.849086846591074e-5,0.053343448208133575
Diospyros ferrea,0.019060154211021422,0.2728506979708999,0.07635055240382592,8.718561495062216e-6,0.19124840277059446
Drypetes NA,0.03705869652620189,0.4236684064100009,0.09631129550224253,2.71186281418655e-4,0.19982151720793906
Duvigneaudia inopinata,0.031754457924778164,0.35385123896581794,0.06765517327275458,3.301968161826279e-5,0.17344467486508733
Entandrophragma utile,4.5345469928347e-5,0.09433710027121542,0.019974713922929755,9.90726889497617e-4,0.0584702999330999
Klainedoxa gabonensis,0.0025301652487773217,0.25077817429774873,3.990048210518114e-4,0.26617092999839853,4.3840394098846626e-4
Lovoa trichilioides,6.658024135239201e-4,0.016504575915422634,0.002538260272191887,9.977990142743504e-6,0.021476518475450956
Macaranga barteri,0.46093583830304496,0.0031976940326601203,0.010121905105570459,0.004545433573249114,0.009020906788820638
Maranthes glabra,0.013134777206043977,0.036663662057614815,0.030492893526479915,0.0102286222372853,0.005143068635556072
Musanga cecropioides,6.021344795096728,4.897911620522271,0.7967194563183174,2.495588495487767,0.15319884008531945
Omphalocarpum elatum,0.008423500423960053,0.06743657664476692,0.013778252270457998,1.1930721423771715e-5,0.04288428990067969
Oncoba mannii,0.05108520446814485,0.46642009221494934,0.13198137360104575,0.00494882809766991,0.14763161064543867
Ongokea gore,0.007579602116123108,0.24925276119248307,0.0156609310831161,0.0054032640480767185,2.7190967286125947e-4
Pancovia laurentii,0.00159190580097318,0.15294756065166581,0.025027019674154057,0.007852881245010433,0.1689270355373797
Pentaclethra eetveldeana,0.053235489612655305,0.5013641758768722,0.08508017913601965,0.0016563372523101458,0.17395222629522114
Pentaclethra macrophylla,0.0075157203972411974,0.016576296813017616,0.009524116459623951,7.053755519327925e-4,0.0331521844305682
Piptadeniastrum africanum,0.022893581903125786,0.006445357546760006,4.1808338118495223e-4,8.366562237229488e-4,0.01507964756525917
Plagiostyles africana,0.10310126889861884,1.0942417856642586,0.31620284504513213,7.87244736129853e-4,0.5654697886093016
Polyalthia suaveolens,0.007826502559878993,0.9834059141453786,0.22178011917271825,0.0059525549942143425,0.6256766726847887
Pycnanthus angolensis,0.10075180592879393,3.6443898310225024e-4,0.0026256718763153697,1.3923400200293345e-4,0.05727809269727779
Rhabdophyllum arnoldianum,0.00849616929691631,0.027198288195730464,0.011478761923042348,0.005820484252576412,5.357630958703668e-7
Santiria trimera,1.0268380206731824,0.020155002154569286,0.06309928367548652,0.01765432165885191,0.0016818704412835304
