species,CA1,CA2,CA3,CA4,CA5
Annickia chlorantha,-0.2089324141144378,0.7132380726744322,-0.35317516188491016,0.005239758401171157,0.5097976543264756
Barteria fistulosa,-0.8141989535283585,1.9826094811645718,4.4743854140946056,0.22796131203077766,-0.5022209826672407
Canarium schweinfurthii,0.4976274191361813,-0.1909159033489546,0.18555751021940045,0.0512394837476498,-0.040312434056434976
Chaetocarpus africanus,-0.15285068109642677,0.9068152075395864,-0.34300414387852546,0.25246714802784553,0.0438299563025012
Chrysophyllum lacourtianum,0.27511429285314754,0.19441013614156852,-0.1404525553859088,-0.11116603937426832,0.46015123811788106
Cola griseiflora,-0.035076903668098895,0.5291157751514979,-0.30827036332724506,-0.1318407351480172,0.5667226434968298
Copaifera NA,-0.16416449559400914,0.653633029548191,-0.33188757980243166,-0.01166017468700941,0.4854137513340424
Dacryodes edulis,-0.13396701616090953,0.6562850482987449,-0.34975547105533605,0.04321728394827504,0.31955474318402555
Dialium pachyphyllum,0.14785538719805735,0.18238039840223444,-0.15350583815839558,-0.20240519732465717,0.40429428804023887
Dialium zenkeri,-0.12201785314604091,0.6600158793873757,-0.1812647479251455,-0.015568132618068102,0.4665819853621652
Diospyros ferrea,-0.1885888760485704,0.692760567674788,-0.3640950820231408,-0.0038014116456674745,0.5587484455574032
Drypetes NA,-0.2167424768574686,0.7115079540588333,-0.33704929909108494,0.017474406578754223,0.470743834502906
Duvigneaudia inopinata,-0.2200211903473367,0.7130833174485817,-0.3097908008951449,0.006686798172251116,0.4809580475851372
Entandrophragma utile,-0.0119552583982683,0.5294208401853008,-0.24204056145416863,-0.05266700293544788,0.4015357583577937
Klainedoxa gabonensis,-0.045909578052690345,0.44375318571260575,0.017586271897943862,-0.4437913009961428,-0.017874365536054305
Lovoa trichilioides,0.08044053222389363,0.38884112892264344,-0.1515047268862928,0.009280970755700668,0.42731559731405044
Macaranga barteri,-0.9668947267164744,-0.07818891100876356,-0.13821205936845332,0.09049325863435262,0.1265169179280507
Maranthes glabra,-0.20211037007395766,0.3278407392084825,-0.2970519546632255,0.16809524476213666,0.11829134079448404
Musanga cecropioides,1.432935265505042,-1.2547380051876147,0.5027920338084345,0.8694326120714297,-0.21378248143617848
Omphalocarpum elatum,-0.2559137067498609,0.7030120382132253,-0.3157185984559385,0.00907716468995911,0.5400835010688542
Oncoba mannii,-0.2537871200636622,0.7445234693709232,-0.3934904398401387,0.07444624715582776,0.4035303840900746
Ongokea gore,-0.11892579720691114,0.6621259574170045,0.1648988056965098,0.09463473687063795,0.021068312341232374
Pancovia laurentii,0.05113548555701671,0.4866343224957091,-0.19557985635615652,-0.10704042691426671,0.492694636156132
Pentaclethra eetveldeana,-0.23920961555543602,0.7127256913814997,-0.2917078110730585,0.039766924765670265,0.40444321571751823
Pentaclethra macrophylla,0.14034539843998217,0.2023598670217379,-0.1523986334804214,-0.04052216942424835,0.2756979250916695
Piptadeniastrum africanum,0.31446177924644475,0.16199524185708308,0.040991923722959664,-0.056657072806360446,0.23871029082386366
Plagiostyles africana,-0.18628301634127709,0.5892039662294533,-0.3146878656033842,0.015341426905277459,0.408047303390705
Polyalthia suaveolens,-0.053491084140227185,0.5821457080636644,-0.27467219264577364,-0.0439661926593133,0.4473393149565829
Pycnanthus angolensis,0.3023902135555668,-0.017657185630944407,-0.047088774946802005,0.010594576012752795,0.21325544973531135
Rhabdophyllum arnoldianum,-0.34142474351424545,0.593091850207493,-0.3828130999655433,0.2663376652769281,-0.0025359130761384904
Santiria trimera,-0.948894710686732,-0.12907027564158752,-0.22690032800479717,0.11726332083745714,0.03591930100994761
Scorodophloeus zenkeri,0.12011348449735128,0.31903201749671756,-0.2786977549451301,-0.22320344730707295,0.7226827502143748
Sorindeia africana,-0.2128667170477479,0.8250982938405266,-0.4527678730888698,0.1983450240391684,0.20137227762062324
Staudtia kamerunensis,-0.024786517049388744,0.232705155376762,-0.19201168979340383,-0.016547483437464337,0.3765190325595695
Strombosia pustulata,-0.5174802817581362,0.2681422614742747,-0.27822555639663593,0.048827826806387094,0.278699119706722
Strombosiopsis tetrandra,-0.21049111753069139,0.39858794202767067,-0.2873222858394233,-0.06457252690866434,0.4032148211082254
Uapaca NA,-0.1437724047027899,0.6625607375462276,-0.33613549080754407,2.559852191503447e-4,0.45375816229924965
Xylopia hypolampra,-0.2345950585590093,1.1316114594321929,1.5223018948893396,-0.04450701184791257,0.04338333971457483
Cleistopholis glauca,0.06376880499320418,0.164518636612275,-0.14606344329249024,-0.10730036170673599,0.1304318328574098
