genus,NSCA_Genus1,NSCA_Genus2,NSCA_Genus3,NSCA_Genus4,NSCA_Genus5
Annickia,0.012237361939340382,0.018384602290526735,6.663143508346243e-4,0.06054249211768216,0.007314383578865091
Barteria,0.0921767561757497,1.3605170857660822e-6,0.11159667432222532,2.446283816779346,18.389253866868042
Canarium,0.0026717846968304293,3.6599781084217765e-5,2.710545566680967e-4,2.1977003615746442e-5,0.0016666267704601857
Chaetocarpus,0.12306624633889873,0.09772479765671653,0.07257368272835303,1.1862301898954632,0.5566309313985629
Chrysophyllum,0.002858841303515166,0.009539812003552386,0.009098693616245958,0.008218949208523622,0.04907685279694342
Cola,0.042916911344471585,0.08730189535817241,0.2116158245151217,0.9130714500616409,2.291200042708117
Copaifera,8.459710949745798e-4,1.3141996245762382e-4,1.6397287334619535e-4,0.0016306252245509463,0.0060658834333008225
Dacryodes,0.07494637264169893,0.006802902292390004,0.0013047339975119931,0.003227238746796093,0.07820036590105246
Dialium,1.0942176001281148,0.9846992536826557,0.026133967890839892,14.842628713204064,7.836931169324193e-4
Diospyros,0.762504937241097,1.3638119617110913,1.114221146531604e-4,9.439605443355813,0.06478449417866951
Drypetes,0.09012215795123493,0.05954050981276045,2.148635355442268e-4,0.8092224474570303,1.0963805900175687
Duvigneaudia,0.03316588992700848,0.012002812801318949,0.008368440157761765,0.35482527781136297,0.4086496342563932
Entandrophragma,0.06279637904086566,0.07013199194773133,9.490623291778595e-6,0.5820705912527164,0.2788136389361431
Klainedoxa,0.06895785976544991,0.013575125675009,0.02382525569205921,0.6437929905851224,0.2310784012245888
Lovoa,1.1187769967096503e-4,2.7771471964348963e-4,2.4943136013338106e-4,0.004756573154443446,0.005288894045479767
Macaranga,35.82526939534333,0.02886097805790117,46.0107767938203,0.4411106018410524,0.04736563258183359
Maranthes,0.005211215667806075,0.001303344841830611,5.194511083318771e-9,0.022006916814651185,0.011067389279219101
Musanga,48.90890430794947,0.01663628241406043,42.41577204404026,0.30731247206111884,0.1657828001310142
Omphalocarpum,2.1584809727872182e-4,0.0010949740500961374,6.168466450579594e-5,0.009794139556925485,0.010069936787743617
Oncoba,0.061274543915523026,0.04476227348182752,0.004897573546136519,1.529950847001998,0.1567115754330084
Ongokea,0.016309706320505234,0.005024926944159043,0.004571917505012309,0.16297720458997106,8.919344029787226e-5
Pancovia,0.04727176352862832,0.026797970887983677,0.021766253781306585,0.1528680712175969,0.3713353234030005
Pentaclethra,0.08849029097301023,0.020105779538805085,0.022583104423134274,1.214236582063272,0.8600679482296332
Piptadeniastrum,1.4002355027735767e-4,2.3414219652378643e-4,2.9434774740762855e-4,0.008047735826982564,0.00566463781715
Plagiostyles,0.8460778348821064,0.11060900778049468,0.4783796025881016,13.019253845104316,0.0040276885488310255
Polyalthia,0.43792949503933265,0.21125053090926627,0.15791587896636733,3.7717961926646284,6.780320175677347
Pycnanthus,7.863649589617319e-5,0.002965323272700602,0.0017363179009129198,0.03766586449707466,0.010258507173212285
Rhabdophyllum,2.502054849247193e-4,1.4577065794924807e-4,3.999261263304197e-6,0.0014092072007739543,0.001662870798985463
Santiria,0.1015087025407197,0.04817531542091043,0.021453554884210923,0.009802371433438605,0.048517270477497806
Scorodophloeus,0.11919007601423272,0.1519481696214232,0.0031849138730786204,0.12575840130572077,1.1237146963005578
Sorindeia,0.24930074042369949,0.025472152195563806,0.080315978088935,4.4363799033937745,2.1426822711885842
Staudtia,0.02846260978242705,0.0642848758825166,0.021087045802934357,0.3690533029445822,0.5061793171051249
Strombosia,0.7076241347895598,0.4851925336548642,0.0637209252952796,0.04884655992070902,4.295651365099435
Strombosiopsis,0.1358039555959325,0.060123118890415016,0.014581875552315679,0.3181276529419413,1.2879751238313515
Uapaca,0.33147508865927855,84.72346258407538,0.0010435811074082674,1.4808862886344965,0.47183842669892534
Xylopia,0.4328467493631365,8.92557937916342,0.1736669603024525,0.30235201630091246,0.0634102157271682
Cleistopholis,6.791694168235751e-4,1.2427510919211352e-4,0.0033733862984203517,0.005027227070811066,6.396004378477739e-4
Daniellia,1.1314647158416609e-4,2.976436733762678e-5,7.172951372776793e-6,0.001996054040202172,8.61623017877036e-5
Dichapetalum,4.8164868694599693e-4,3.993472440179938e-5,8.821187035912112e-5,0.0011135487623044602,0.0018304915640601032
Heisteria,0.011249660315140478,0.004805953908897825,0.0011205402099301782,0.060112764978439634,0.11957898617320233
Maprounea,0.0019817135474758532,0.0022925837608330684,7.0191942726901e-4,0.012909159466022196,0.002496463549197491
Markhamia,2.8758326301577084e-4,1.7883118061938296e-4,2.6498148661623304e-6,0.001342800391303609,0.019877778732390657
Massularia,0.0019773018690552664,0.0016919472432999276,1.387802204662978e-4,0.02589169109601406,0.036867071845098874
Milicia,3.086493849290517e-4,1.38041548420341e-4,1.8802346871622856e-4,7.188024267971456e-4,0.0013205268147736923
Millettia,0.06958428111634216,0.04879954843542553,0.0010051855172230602,0.5462389918093661,0.13905227653604582
Olax,0.0021499268731420256,0.0020657209794639783,0.0010608950719840854,0.01576181130396992,0.03028930886931086
Picralima,0.003639100403148679,0.002271938061531325,5.237177900639341e-4,0.026473013978870343,0.037777979883835036
Anonidium,0.017934946631768717,0.020792236891499304,6.239947047433802e-4,0.039406901834000835,0.06677167363015671
Garcinia,0.40118686791718056,0.33135337077339,5.866123152574436e-4,2.647027255614899,5.083036213111126
Ricinodendron,0.04164573853242532,7.984853344523194e-6,2.557753290797436e-4,4.745471342550372e-4,0.002363883686542181
Rytigynia,0.00561522321314582,0.10462909163667104,0.005332272211061944,0.042556710380783874,0.003381426067157645
Sclerocroton,0.005910097860318012,0.0022627251651044125,0.0033649578882547692,0.09028886973987713,0.09916527535845245
Tetrapleura,0.0058840126716021525,2.586356416816239e-6,0.026239383656522088,9.307125346518995e-4,2.8860919121532056e-5
Uvaria,0.0011043413538325947,5.528770359266874e-4,3.7824327735996605e-4,0.010566878817017952,0.012501394486861824
Vitex,2.5109974814348457e-5,5.408026832735674e-4,0.007397444835427904,0.008254009212706045,0.0062708885537413606
Zanthoxylum,1.6139567358690725e-4,8.150912354711437e-5,0.0035064794276881946,3.6384689817616984e-5,0.0011044349886497624
Dracaena,0.0012455357841623666,1.2950038498207982e-5,0.009241565797519858,0.005320420111014228,0.019591337642758822
Elaeis,1.1045946619907111e-4,2.3637381487019314e-4,6.994976092412788e-4,0.017817905857709374,0.033099826287801344
Ficus,0.022651011382326905,2.9969972303856088e-5,0.004566290709213313,0.0017008547355742054,0.006032883423164009
Fillaeopsis,4.07190314831428e-5,4.5188374813087524e-5,3.6092791857965107e-7,3.477069942437012e-4,5.0661296885628566e-6
Symphonia,0.020960203909460153,0.0035722221341623916,0.002317802827290887,0.35192122862359443,0.22572565500427935
Alstonia,0.002968962035446757,3.5053511323122106e-5,9.866338818238071e-4,2.064065060050105e-4,8.766968367564604e-4
Bikinia,2.5258363994858736e-4,1.9642139861609462e-5,2.7371783118472863e-5,5.221366475146262e-4,0.001983571044918708
Eriocoelum,0.015156794559063587,0.008544237026871992,1.2357059302014247e-4,0.1346352633255727,7.434436436865874e-4
Erythrophleum,7.266454479443316e-4,4.6196279699356615e-4,1.1338050731059684e-4,9.9011600657145e-4,4.8086295287565455e-4
Gilbertiodendron,0.08022553102158658,0.016304574344379964,0.00351932279389062,0.20670655277603892,0.06676490075094536
Hallea,0.003117476923549165,0.004542620302984129,3.89491807298553e-4,0.011059152167836922,0.021760585867891646
Irvingia,0.0040302523272878615,0.0029589054866521153,2.0132457611411854e-5,0.022738551459500825,0.02559344684074145
Microdesmis,0.044240761440703186,0.03895882602079453,0.00759808167743011,0.10784147989120964,0.4735291250907098
Myrianthus,1.9409195078756196e-4,7.352704953640638e-4,0.003764050236562095,0.006678532317017752,0.015004532248139382
Parinari,2.10385232367188e-4,7.16506733945162e-5,4.129185778123569e-6,5.608039113057188e-4,8.40269471285036e-6
Rinorea,0.0024002874438577844,0.0049187564257300205,5.742046714668771e-5,1.5243712334025734e-4,9.899954281155764e-4
Baillonella,1.112179603582169e-6,4.7672136125651515e-7,5.061478402235272e-7,1.4591590163802513e-5,1.7409024619072984e-5
Ganophyllum,1.8258199201359388e-4,1.7085969873137008e-4,4.8099086204503315e-5,7.938287437836305e-4,0.001917519108140419
Rauvolfia,5.572167637311263e-4,7.074996654576381e-4,0.0016154958028257885,0.003390981784731702,0.022119470127591957
Piptostigma,2.5359875216226823e-5,9.8853443660026e-8,2.7070142712294242e-5,4.0165564292002435e-4,8.041351899637473e-5
Afrostyrax,0.006543137508632611,0.012638498790896574,4.843522618593892e-6,0.03483392213260891,0.009940475300148202
Coelocaryon,0.0016815133050728727,0.05834740154874689,0.10440216316529242,0.03079706341593346,6.885825049084826e-7
Albizia,0.01114322510817089,0.0022313819185027796,0.01123617032614031,8.865962174272833e-4,0.0966202203798713
Allophylus,1.6329578056578697e-6,2.837945784243569e-6,3.0731466068113906e-5,4.3791444763267905e-4,0.005297381290654525
Amphimas,7.638135489350678e-6,7.082294795004331e-5,3.980929766541552e-5,3.0072880688401016e-6,2.0199456299691278e-4
Antiaris,1.4689824082345494e-4,7.188471171777445e-4,0.0022485646972415026,0.006295993501341045,0.05103162377488807
Baikiaea,2.3616016252419795e-4,4.514713872685943e-4,0.005567100378867406,5.487617716325768e-5,2.5364581554573727e-4
Beilschmiedia,2.9233824129407815e-4,2.0525852745624293e-4,2.3635822269111472e-4,0.007356050350604981,4.3488989350143385e-4
Bellucia,0.006813610382499043,5.529138990857291e-6,0.004621664106727824,4.160157825310365e-5,1.1679441051384565e-5
Bosqueiopsis,1.8991132507620808e-4,7.337669499612865e-5,2.510563476893222e-5,0.011662384659768646,0.05218729120991266
Bridelia,6.232135961627827e-5,9.671933978660627e-5,1.0768607530533731e-4,3.305091066605524e-6,0.0035457196997834904
Campylostemon,3.5115235257400886e-5,9.263507535176864e-9,1.219224686682613e-4,2.5634163103098845e-7,6.55564335694638e-7
Carapa,0.0010812831126940784,0.03427647307488582,0.00234395657605532,0.004035352986924061,0.008431945495192581
Celtis,0.0013140123817700412,0.00878538129201347,0.0026401936850769577,9.29232746136708e-5,0.0027533146425639957
Chionanthus,3.5115235257400886e-5,9.263507535176864e-9,1.219224686682613e-4,2.5634163103098845e-7,6.55564335694638e-7
Croton,3.3212863603271776e-4,2.759767094404674e-4,0.004867983595055003,2.0889532051887607e-4,0.0014020128302915577
Dichostemma,0.046772673394338805,0.12305724976881889,0.3605929222895375,10.542675411378928,2.796914079249996
Greenwayodendron,0.09503622658087213,0.23987190907834194,0.004515493642213253,2.3746897971378624,0.16043670751141964
Grewia,0.017499817460434774,0.0015414259245104993,2.2650269185180727e-4,0.013578375278901957,0.10133234778232375
Guarea,9.252435694782607e-4,0.0030200102567286566,3.141253690900099e-4,0.0016784133157022245,0.008590854730169134
Hannoa,1.1169587554280573e-4,6.316858330545007e-5,1.501787829342367e-4,3.477750913179619e-8,7.073624741294768e-5
Loeseneriella,3.5115235257400886e-5,9.263507535176864e-9,1.219224686682613e-4,2.5634163103098845e-7,6.55564335694638e-7
Maesobotrya,8.230986828489014e-6,0.0037351683872807804,0.005145418376837056,0.05068043485157408,4.923599594948778e-4
Maesopsis,0.7602318477319775,7.154087233518197e-4,1.8046713385993223,0.01820680157010058,0.010512737039533461
Morinda,0.01160190672749084,0.0016981983686368766,4.3049015073772445e-4,7.406512302257979e-4,0.04402886352785578
Petersianthus,0.0293711237339585,0.0221799026277887,0.14488926870694038,0.05084679832530647,0.04245496630207414
Pseudospondias,0.0031930893307008166,6.90430951463583e-5,0.011248739525148812,0.0035165494815866984,4.101780339831175e-4
Pterocarpus,4.1884160734303305e-4,0.0012630007838965672,3.623105536937583e-4,0.0031027565218358357,0.014574999281119624
Radlkofera,3.6626342220191717e-4,3.921211571766942e-5,7.373747628491374e-4,1.7881901375862778e-5,2.7401809429294157e-4
Scottellia,0.0014767431400996307,0.004642596275038976,1.1402980995061469e-4,0.04528508281426731,0.001944627463330527
Sterculia,4.3911860285205257e-4,2.618360707105194e-6,9.62352336665749e-4,1.3538028742498528e-4,1.4627367067330478e-4
Tabernaemontana,0.0016841311305098472,0.0015343351333228052,0.00676916218987021,3.203951973611527e-5,0.007181551860077869
Tessmannia,1.343236922830382e-4,7.412703097381516e-4,6.757695089046659e-5,6.165378728001001e-4,0.001378273830008209
Tetrorchidium,3.398625290083971,0.004300138846555999,4.937401175174425,0.035210318049702115,0.03159317459633206
Tiliacora,3.5115235257400886e-5,9.263507535176864e-9,1.219224686682613e-4,2.5634163103098845e-7,6.55564335694638e-7
Treculia,0.004257771959858057,1.6002519083834918e-6,0.006379422554337015,1.2077159717298401e-4,0.007887168974817074
Trichilia,0.08694749264203996,0.011024746807291425,0.01718820346368208,1.1494026480014214,0.8360528142433112
Turraeanthus,0.001229684697259788,7.748471874978165e-4,3.6873935782306527e-4,0.001363750399314724,0.0031796340812542067
Vernonia,3.131248743731628,0.0036939401204043173,1.9954822337709546,0.019870667202527576,0.002995854123953452
Artabotrys,3.099633826782326e-5,1.1788419614552505e-6,2.6146373488743273e-4,2.8063340884343124e-8,1.1333911075560792e-5
Casearia,4.599693578088394e-5,8.484935125011224e-6,3.1300022428120333e-4,1.6039825562798e-5,4.056059928981336e-5
Discoglypremna,6.12534666350888e-5,2.990424818549345e-4,2.597915605429471e-4,3.534563100707165e-5,0.006087569184029096
Harungana,0.003880340545790991,1.3466496905847223e-7,0.01366023475434612,0.0014395964514809752,9.831807264831021e-4
Lannea,8.939742460285854e-4,3.576193630289219e-6,6.20676561991114e-4,4.883148686411306e-4,0.0032214340366611104
Mammea,1.569564961668937e-4,7.182126969130277e-4,1.8955954602562515e-5,5.806353492970298e-4,0.012577365168089941
Nesogordonia,2.3617308871166947e-4,5.568681646315604e-6,4.7224643722182304e-4,9.894704039598083e-6,2.8817409283924e-4
Pterygota,7.243311352822452e-5,0.0018107928077905479,0.026629531585065903,0.0060730487034672586,0.01994139234932173
Trilepisium,0.014422945760120095,1.7601517117335448e-4,0.004440112823555264,0.015601646041873193,0.04348053163173443
Aoranthe,3.659131121085445e-5,1.2082261951562838e-4,6.642185860247745e-6,4.761256751037754e-4,2.982558149798946e-4
Autranella,4.6758066648216955e-6,7.383097748427537e-7,1.6311483797559208e-6,3.208529446760344e-6,5.9822965668861565e-6
Blighia,0.001241175958499925,8.509615703929234e-5,1.8405151232050914e-4,4.3144232492615314e-5,0.018068231527983987
Ceiba,4.902415446324636e-5,6.040630367738769e-8,1.0828802860838054e-5,2.6002253448779727e-6,3.6681557435273806e-5
Cuviera,6.022024302298224e-6,1.5677398229939405e-8,5.6429595661134136e-6,4.1684655869765946e-6,5.4047059417259474e-6
Erythrina,8.489494297207821e-6,4.394426442731539e-7,2.9824095183654003e-6,1.8240040562759325e-6,3.3700893342443225e-5
Phyllocosmus,2.2407975386008792e-5,2.7294430867905956e-5,4.337662013887141e-5,1.754608001332129e-5,4.143365965649609e-6
Trema,0.0010513006823428123,3.4590682457999265e-7,0.001501936090019825,9.142562432220168e-6,7.351152950326303e-8
Tricalysia,6.958969259430713e-4,3.9204604244696514e-5,0.006241654082948056,3.9388775846057944e-4,3.8950837429920193e-4
Trichoscypha,3.6814672786433756e-4,0.0020259553098139894,1.752535768630014e-4,0.030095551055822466,0.0011884314022668808
Allanblackia,1.5728974730363543e-7,7.1570941465344e-4,0.0013839215075959709,0.021336854624867535,0.006114664822524681
Antrocaryon,1.3605312636346322e-6,3.56040942409819e-5,9.531016597792758e-6,3.6576243017200496e-5,1.358504162816066e-4
Combretum,2.3653343544516384e-5,7.48647309554185e-5,1.201703936447869e-4,5.129690767322744e-6,6.306342280019294e-4
Funtumia,8.126615976615651e-4,0.007940166510289205,5.489980403118032e-4,1.7158214943459893e-4,0.12250857782269026
Hymenocardia,0.1530907506888134,0.025821711495943273,0.3067211708409015,7.085444439582044,45.45287594701455
Memecylon,1.3096212044688696e-5,5.708549059176293e-7,1.5726099046582597e-6,3.5289293258774967e-6,1.1003847317339033e-5
Nauclea,8.837821318652414e-6,2.9438916146974257e-4,6.932557411983994e-5,5.070436895096236e-4,2.744247104776521e-4
Pavetta,1.9627311151960473e-5,3.1668768725272354e-8,3.1002305567895836e-6,4.900796181980294e-7,4.486547420035655e-6
Prioria,0.0014313128645474333,0.0022355085340780905,8.578088880553912e-4,1.99083987442165e-4,0.005496678130600372
Aphanocalyx,1.479801943557622e-4,4.0132973490358455e-5,9.444384499849838e-6,8.222630920158276e-4,0.0024614465662732973
Cavacoa,0.015683617559749542,0.018412192291210053,7.272146863123848e-7,0.03154633774425743,0.02536836934482527
