species,NSCA_DBH1,NSCA_DBH2,NSCA_DBH3,NSCA_DBH4,NSCA_DBH5
Annickia.chlorantha,6.322449977322296e-5,3.196239721684996e-4,0.002688307468918125,1.7398166681532348e-5,4.1164874240699956e-4
Barteria.fistulosa,0.0018649369949453422,0.005033163460127249,0.007125447334231416,1.0938105291779923e-4,0.0013757216339913914
Canarium.schweinfurthii,2.6233980855157737e-5,6.356099948168116e-9,0.014501040356264767,0.001131160681524908,0.09561616176034497
Chaetocarpus.africanus,0.0056967867256426195,0.0253125191541945,0.17717180871451663,0.0018299882814913511,0.025268013201142428
Chrysophyllum.lacourtianum,0.0075307495237609615,0.01703389628734076,0.08361387549530276,3.3753387734636336e-5,0.5055183227772291
Cola.griseiflora,0.002490268298977769,0.016554885739401216,0.07210798636200456,4.016258034237074e-5,0.0438233597446393
Copaifera.NA,0.013725069207166105,0.08826098776839338,0.39797933485013803,7.869068713851105e-4,0.01933344851321781
Dacryodes.edulis,0.003506552932528077,0.021363993521079077,0.12736234481438874,0.0011759338344172019,0.022272296216942204
Dialium.pachyphyllum,0.013993634265329583,0.04268908221877309,0.15774498420940455,0.01759337656562609,0.16263842320468358
Dialium.zenkeri,4.685302636487836e-4,0.002778687579271733,0.015261894485536347,1.415792484652387e-4,1.9031093438219657e-5
Diospyros.ferrea,8.880875492286562e-4,0.0029467581221569268,0.03381779958010085,8.273202840438203e-5,0.003428546130310293
Drypetes.NA,0.020587543027133805,0.09985676130388424,0.9909322818868643,0.00891450025668941,0.25592545438270925
Duvigneaudia.inopinata,0.006145350326302477,0.0334055299346796,0.2780572482182878,0.002451319666414988,0.04139188951598976
Entandrophragma.utile,0.005993215870801161,0.021866697076941596,0.16117801591673742,6.416943223809704e-4,8.443082651382344e-4
Klainedoxa.gabonensis,0.7300619547602892,3.0393880111876954,27.499471943211596,0.09715585885059412,7.591383761549361
Lovoa.trichilioides,2.593245773174794e-4,0.001117489225929727,0.004006492794884835,4.023471633202912e-5,0.00519472362452305
Macaranga.barteri,0.0056141674615740956,0.04670801666929779,0.12461513965242907,1.0503147803334745e-4,0.023718266793391132
Maranthes.glabra,0.0022239501435191026,0.013469548434619975,0.007644911816379052,2.921710290806961e-4,0.002428807982897587
Musanga.cecropioides,0.5575895422826984,81.21696785606389,2.730918461632361,0.005170984703815506,2.987188392748959
Omphalocarpum.elatum,0.0021566606833597446,0.012608587018239425,0.10205198810540281,0.0018454177035157966,0.01242806494428915
Oncoba.mannii,0.0033089832468344883,0.011325162825256523,0.10978553197560283,0.001091043616792812,0.021916916473465598
Ongokea.gore,2.313726016112888e-5,0.06347626722307248,0.4045652448599958,0.0017647805811725223,0.03064578872904462
Pancovia.laurentii,0.0012540221936389695,0.0017334311415316416,0.027950784525420404,1.1939368304259744e-4,0.0038208737594821462
Pentaclethra.eetveldeana,0.10280536870777968,0.4196200708109937,3.973352047269537,0.03818737779901763,1.0688581206263106
Pentaclethra.macrophylla,0.013439097484804595,0.002624005409048582,0.23055772362528376,6.101430351268712e-5,0.025318135302508617
Piptadeniastrum.africanum,0.029619621843511794,0.0027719482639636532,0.7192709036465902,0.010411537649357708,0.12863179160681676
Plagiostyles.africana,0.1875293992562495,0.9098297328902808,5.377751798032775,0.006817361947367072,2.149105682865947
Polyalthia.suaveolens,0.12829948070874783,0.6514827011117001,4.585341892457949,0.047455962944698143,0.00746821047319015
Pycnanthus.angolensis,0.07989233736756611,0.0718301173075585,0.7717458621703099,0.009501858251875587,0.7317620976540751
