"","WD_mean","WD_BA","prop_ind_helio","prop_ind_npld","prop_ind_shade","prop_g_helio","prop_g_npld","prop_g_shade","simpson_diversity","shannon_diversity","species_richness"
"NSCA1",0.816724227568009,0.771078233801298,-0.854922143695038,0.26805235325357,0.618249870072754,-0.843051687781553,0.346778502219145,0.501707641867531,0.230364296643695,0.217110421657162,-0.0888428602181961
"NSCA2",-0.270667688816616,-0.269208290238533,0.196011614150629,0.4636157400777,-0.453767640589709,0.164588787628844,0.32025620785545,-0.382294933317383,-0.824528728701922,-0.576403089580365,-0.285823053698478
"NSCA3",0.118358952282567,0.0689723091505953,-0.214989062472839,0.00787566486675227,0.190848826089773,-0.103109671274633,-0.146034699313277,0.19948075269934,0.0864411030270469,0.193774247029631,0.346038918207223
"NSCA4",0.252595819392111,0.320810085933091,-0.132409892799777,-0.0460170853875847,0.14776965490418,-0.232507956780202,0.117999931437575,0.12197865311696,0.137449775748038,0.116373226863787,0.126176462683483
"NSCA_DBH1",-0.133146525498189,-0.128981421164774,0.0845956146564868,0.159512786880877,-0.17172693913989,0.158563999075172,0.279185379085706,-0.34679103011924,-0.0179430725406577,-0.0112917359185118,-0.0793389483299245
"NSCA_DBH2",-0.812246038233737,-0.804008572287641,0.808888734618723,-0.174169141323651,-0.632172322206058,0.825976373891114,-0.310977751580076,-0.512637586045695,-0.359971531672271,-0.326374774726009,-0.0484174987022166
"NSCA_DBH3",0.0842895866615096,0.0129934803325378,-0.149917999888255,-0.0089203282690196,0.141648645244273,-0.0677604298882171,-0.178174915795435,0.191343530525579,0.00227321679964316,0.126252811258063,0.248142257781348
"NSCA_DBH4",0.118428203496173,0.122882094470892,0.00628478549177737,-0.00686689907406174,-0.00163532649499348,0.0304300027036742,-0.027259099164508,-0.00730420367465211,0.0729789146609939,0.0930724941083497,0.0849482885587574
"CA1",-0.747870519843175,-0.718001359641689,0.633173757986252,0.0912272986258612,-0.630071432250133,0.587746394179807,-0.0286699139167525,-0.505955163347191,-0.238489971757355,-0.146049821021974,0.148865441858155
"CA2",0.360105355721704,0.384760933493314,-0.42831128969141,0.456306620340215,0.118386655961002,-0.498613373394422,0.433041981674274,0.12966199157601,-0.194371847080564,-0.158897292108124,-0.207920841327485
"CA3",-0.184104992903626,-0.182267473144206,0.209369931650126,0.1790413631885,-0.296811669974905,0.228521824169536,0.0781077361794043,-0.262138334881425,0.0785744765565982,-0.0100666329439892,0.0705020018529199
"CA4",-0.222989772922058,-0.14323528870608,0.293095754729789,-0.00396577012364107,-0.264208929275485,0.264519772261355,-0.0765378500469685,-0.181069058477962,-0.51501148724334,-0.419130213091151,-0.230887151698892
"NSCA_Genus1",0.87368182871717,0.811634487610632,-0.906246705211031,0.224836689687626,0.690609098465718,-0.881021279508837,0.318104724187481,0.556766778583304,0.373047179196561,0.378646455571969,0.101503868692907
"NSCA_Genus2",-0.222611950336758,-0.221214939163275,0.121562965395663,0.532929792950858,-0.427246974271469,0.088678637586552,0.409243841253116,-0.379456455172423,-0.785593607036039,-0.556849925817847,-0.313066746134867
"NSCA_Genus3",-0.117991935721466,-0.186970442170408,0.0382853441256535,0.0309424046075504,-0.0532070382037481,0.124172872697905,-0.019655321701805,-0.0969262920798916,-0.128931224307108,-0.133882934560299,-0.194183762018278
"NSCA_Genus4",0.108978045786211,0.0526739862910276,-0.0892682605097449,-0.300758488676017,0.259910303571972,0.0350109189656218,-0.370748390561307,0.240342929814665,-0.062599342025877,0.0289368702031889,0.138624104948237
"NSCA_Genus_DBH1",-0.190208789547104,-0.18408098613462,0.143519116553279,0.154130322922632,-0.222118381011564,0.21536268786491,0.264199785174252,-0.386732813112353,-0.045984085418735,-0.0392463011638023,-0.0899348292557796
"NSCA_Genus_DBH2",-0.852530402854646,-0.825371166814353,0.866553259175593,-0.212748109515871,-0.661692095694901,0.86910080723401,-0.340477913759666,-0.529680957830978,-0.382811639631813,-0.38085712813788,-0.117710977838689
"NSCA_Genus_DBH3",0.108701531156639,0.0419453728128839,-0.0886932598822262,-0.234180648858916,0.219824216116181,0.00757253204056998,-0.363855458894481,0.259891895819975,0.0696267819044195,0.128501185076179,0.208054437092335
"NSCA_Genus_DBH4",0.141135780018151,0.160673563297009,0.0322537088210268,-0.0856455248778479,0.0215596992155688,0.0414386271391411,-0.0477268827914321,-0.00217294330101571,0.0670265661718125,0.0327579302761274,-0.0206942168634302
