variable,type,category
prop_at_5m,Active,Structural_metrics
prop_at_10m,Active,Structural_metrics
prop_at_15m,Active,Structural_metrics
prop_at_20m,Active,Structural_metrics
prop_at_25m,Active,Structural_metrics
prop_at_30m,Active,Structural_metrics
prop_at_35m,Active,Structural_metrics
prop_at_40m,Active,Structural_metrics
h10,Active,Structural_metrics
h25,Active,Structural_metrics
h50,Active,Structural_metrics
h75,Active,Structural_metrics
h90,Active,Structural_metrics
h100,Active,Structural_metrics
auc_norm,Active,Structural_metrics
auc_0_25_norm,Active,Structural_metrics
auc_25_75_norm,Active,Structural_metrics
auc_75_100_norm,Active,Structural_metrics
transition_thickness,Active,Structural_metrics
slope_basal,Active,Structural_metrics
slope_transition,Active,Structural_metrics
slope_upper,Active,Structural_metrics
height_max_d1,Active,Structural_metrics
max_d1,Active,Structural_metrics
max_d2,Active,Structural_metrics
min_d2,Active,Structural_metrics
WD_BA,Supplementary,Wood_density_succession
prop_g_helio,Supplementary,Wood_density_succession
prop_g_npld,Supplementary,Wood_density_succession
prop_g_shade,Supplementary,Wood_density_succession
NSCA_Genus_DBH1,Supplementary,Multivariate_axes
NSCA_Genus_DBH2,Supplementary,Multivariate_axes
CA1,Supplementary,Multivariate_axes
CA2,Supplementary,Multivariate_axes
