metric;correlation;p_value;method;target_variable;metric_label;abs_corr;significance;corr_formatted;direction;rank
prop_at_20m;-0,607591641312557;0,00000000588547245188952;Pearson;WD_BA;Proportion de trouées à 20m;0,607591641312557;***;-0.608***;negative;1
prop_at_20m;-0,607591641312557;0,00000000588547245188952;Pearson;WD_BA;Proportion de trouées à 20m;0,607591641312557;***;-0.608***;negative;2
prop_at_25m;-0,606883665871669;0,00000000619643365118890;Pearson;WD_BA;prop_at_25m;0,606883665871669;***;-0.607***;negative;3
prop_at_25m;-0,606883665871669;0,00000000619643365118890;Pearson;WD_BA;prop_at_25m;0,606883665871669;***;-0.607***;negative;4
h75;0,568472325217211;0,00000008469447735928516;Pearson;WD_BA;Hauteur à 75% de trouées;0,568472325217211;***;0.568***;positive;5
h75;0,568472325217211;0,00000008469447735928516;Pearson;WD_BA;Hauteur à 75% de trouées;0,568472325217211;***;0.568***;positive;6
upper_thickness;-0,567620003638201;0,00000008941945645421077;Pearson;WD_BA;Épaisseur zone supérieure;0,567620003638201;***;-0.568***;negative;7
upper_thickness;-0,567620003638201;0,00000008941945645421077;Pearson;WD_BA;Épaisseur zone supérieure;0,567620003638201;***;-0.568***;negative;8
h90;0,561773373418920;0,00000012923622864459966;Pearson;WD_BA;Hauteur à 90% de trouées;0,561773373418920;***;0.562***;positive;9
h90;0,561773373418920;0,00000012923622864459966;Pearson;WD_BA;Hauteur à 90% de trouées;0,561773373418920;***;0.562***;positive;10
h50;0,537578676694186;0,00000055169977225580190;Pearson;WD_BA;Hauteur à 50% de trouées;0,537578676694186;***;0.538***;positive;11
h50;0,537578676694186;0,00000055169977225580190;Pearson;WD_BA;Hauteur à 50% de trouées;0,537578676694186;***;0.538***;positive;12
h25;0,522959404291293;0,00000125700922172766831;Pearson;WD_BA;Hauteur à 25% de trouées;0,522959404291293;***;0.523***;positive;13
h25;0,522959404291293;0,00000125700922172766831;Pearson;WD_BA;Hauteur à 25% de trouées;0,522959404291293;***;0.523***;positive;14
basal_thickness;0,522842416837711;0,00000126512475551389032;Pearson;WD_BA;Épaisseur zone basale;0,522842416837711;***;0.523***;positive;15
basal_thickness;0,522842416837711;0,00000126512475551389032;Pearson;WD_BA;Épaisseur zone basale;0,522842416837711;***;0.523***;positive;16
min_d2;0,493168482315325;0,00000600560393306490254;Pearson;WD_BA;Décélération maximale;0,493168482315325;***;0.493***;positive;17
min_d2;0,493168482315325;0,00000600560393306490254;Pearson;WD_BA;Décélération maximale;0,493168482315325;***;0.493***;positive;18
prop_at_30m;-0,478209087027304;0,00001248246130246483299;Pearson;WD_BA;Proportion de trouées à 30m;0,478209087027304;***;-0.478***;negative;19
prop_at_30m;-0,478209087027304;0,00001248246130246483299;Pearson;WD_BA;Proportion de trouées à 30m;0,478209087027304;***;-0.478***;negative;20
