metric;metric_label;target_var;intercept;slope;r_squared;adj_r_squared;f_statistic;p_value;correlation;n_observations
prop_at_20m;Proportion de trouées à 20m;prop_g_helio;4,7465;44,4207;0,3060;0,2966;32,63;0,0000;0,5532;76
basal_thickness;Épaisseur zone basale;prop_g_helio;46,4775;-1,4574;0,1908;0,1799;17,45;0,0001;-0,4368;76
h25;Hauteur à 25% de trouées;prop_g_helio;48,0464;-1,4517;0,1894;0,1784;17,29;0,0001;-0,4352;76
prop_at_25m;prop_at_25m;prop_g_helio;-1,2647;39,8747;0,2822;0,2725;29,09;0,0000;0,5312;76
prop_at_15m;Proportion de trouées à 15m;prop_g_helio;12,3488;39,7007;0,1284;0,1166;10,90;0,0015;0,3583;76
h50;Hauteur à 50% de trouées;prop_g_helio;53,9107;-1,3856;0,2010;0,1902;18,62;0,0000;-0,4484;76
prop_at_10m;Proportion de trouées à 10m;prop_g_helio;15,6929;48,4054;0,0684;0,0558;5,43;0,0225;0,2615;76
h10;Hauteur à 10% de trouées;prop_g_helio;38,6941;-1,3210;0,1525;0,1411;13,32;0,0005;-0,3906;76
slope_basal;slope_basal;prop_g_helio;17,8302;114,4895;0,0220;0,0088;1,67;0,2005;0,1485;76
height_min_d2;Hauteur à décélération max;prop_g_helio;43,9493;-0,8215;0,1492;0,1377;12,98;0,0006;-0,3863;76
auc_norm;auc_norm;prop_g_helio;-16,9117;86,2587;0,1715;0,1603;15,32;0,0002;0,4142;76
h75;Hauteur à 75% de trouées;prop_g_helio;59,7338;-1,3730;0,2090;0,1983;19,55;0,0000;-0,4572;76
upper_thickness;Épaisseur zone supérieure;prop_g_helio;-22,4688;1,3737;0,2096;0,1989;19,62;0,0000;0,4578;76
prop_at_5m;prop_at_5m;prop_g_helio;17,3821;74,7906;0,0441;0,0312;3,42;0,0686;0,2101;76
height_max_d1;Hauteur à pente maximale;prop_g_helio;43,7850;-0,9501;0,1405;0,1289;12,10;0,0008;-0,3749;76
h90;Hauteur à 90% de trouées;prop_g_helio;60,9738;-1,2657;0,1897;0,1788;17,32;0,0001;-0,4356;76
height_max_d2;Hauteur à accélération max;prop_g_helio;38,0826;-0,8940;0,1220;0,1101;10,28;0,0020;-0,3493;76
prop_at_30m;Proportion de trouées à 30m;prop_g_helio;-4,8061;34,1188;0,1540;0,1425;13,47;0,0005;0,3924;76
prop_at_35m;prop_at_35m;prop_g_helio;-13,3698;37,7272;0,0818;0,0694;6,59;0,0123;0,2860;76
max_d2;Accélération maximale;prop_g_helio;3,1498;1274,7830;0,1804;0,1693;16,28;0,0001;0,4247;76
