metric;correlation_WD_mean;p_value_WD_mean;metric_label;rank_WD_mean;correlation_WD_BA;p_value_WD_BA;diff;abs_diff
prop_at_20m;-0,531828103125011;0,000000000291064758609756;Proportion de trouées à 20m;1;-0,569532489807628;0,000000904360119127265;0,03770438668261666;0,03770438668261666
decay_rate;0,483137372737927;0,000000017368461520491765;Taux de changement;2;0,442518001351558;0,000250898971795274401;0,04061937138636873;0,04061937138636873
h90;0,475403855257234;0,000000031412014577875683;Hauteur à 90% de trouées;3;0,511231547813992;0,000015825972081633594;-0,03582769255675783;0,03582769255675783
GVN;-0,464104414311475;0,000000072749800251516457;Gradient Vertical Normalisé;4;-0,455444706286380;0,000155873833164290600;-0,00865970802509525;0,00865970802509525
prop_at_15m;-0,460124617073080;0,000000097094192783318882;Proportion de trouées à 15m;5;-0,371396156966038;0,002515424653174485898;-0,08872846010704172;0,08872846010704172
upper_thickness;-0,459934321207627;0,000000098434570998008374;Épaisseur zone supérieure;6;-0,518521917001288;0,000011383967857346906;0,05858759579366080;0,05858759579366080
h75;0,459092974890702;0,000000104575568732105801;Hauteur à 75% de trouées;7;0,519723435854930;0,000010774468179887366;-0,06063046096422814;0,06063046096422814
min_d2;0,455707053312189;0,000000133195968261396260;Décélération maximale;8;0,453043516198974;0,000170529132922836278;0,00266353711321421;0,00266353711321421
ROS;0,450428627591532;0,000000193207855959943520;Ratio d'Occupation Stratifiée;9;0,541247030198271;0,000003876885495105847;-0,09081840260673918;0,09081840260673918
auc;-0,436745633686399;0,000000492373004364299711;Aire sous la courbe;10;-0,513545047301577;0,000014266664245601155;0,07679941361517839;0,07679941361517839
prop_at_10m;-0,432314960894888;0,000000660819877433255858;Proportion de trouées à 10m;11;NA;NA;NA;NA
h50;0,416934294545231;0,000001777737202786535099;Hauteur à 50% de trouées;12;0,483978156225002;0,000050837733791478733;-0,06704386167977050;0,06704386167977050
max_d1;-0,411652554957086;0,000002469592636791008924;Pente maximale;13;-0,406672889447558;0,000854095892090145923;-0,00497966550952805;0,00497966550952805
IDT;0,390414196458760;0,000008764088705808582394;Indice de Différenciation Transitionnelle;14;NA;NA;NA;NA
Smax;-0,385555405034432;0,000011569405930532149137;Pente maximale;15;NA;NA;NA;NA
h25;0,384676239140815;0,000012159904755691327777;Hauteur à 25% de trouées;16;0,458988259264638;0,000136348770190776122;-0,07431202012382293;0,07431202012382293
log_max_d1;-0,383901437553455;0,000012703738335181803613;Log pente maximale;17;-0,389216569731461;0,001479286772291669430;0,00531513217800511;0,00531513217800511
basal_thickness;0,382726293423715;0,000013572483852914584188;Épaisseur zone basale;18;0,459738282966125;0,000132515761764241951;-0,07701198954241001;0,07701198954241001
height_min_d2;0,375210257027858;0,000020597141593658753738;Hauteur à décélération max;19;0,380297404826146;0,001936623694004582265;-0,00508714779828834;0,00508714779828834
anisotropy_squared;0,373702702344867;0,000022366936600569801486;Anisotropie au carré;20;NA;NA;NA;NA
h50_squared;NA;NA;h50 au carré;NA;0,484182686467832;0,000050412794713595500;NA;NA
max_d2;NA;NA;Accélération maximale;NA;-0,424234864100775;0,000476637253540541559;NA;NA
anisotropy_mean;NA;NA;Anisotropie moyenne;NA;0,418834889158374;0,000572194008905948614;NA;NA
prop_at_30m;NA;NA;Proportion de trouées à 30m;NA;-0,412285597709986;0,000711268429000947865;NA;NA
