metric;correlation_WD_mean;p_value_WD_mean;metric_label;rank_WD_mean;correlation_WD_BA;p_value_WD_BA;diff;abs_diff
auc;-0,496413005045916;0,00000000606561437812529;Aire sous la courbe;1;-0,524313186813187;0,00000871497993457573;0,02790018176727116;0,02790018176727116
prop_at_20m;-0,486565704296794;0,00000001329319680241788;Proportion de trouées à 20m;2;-0,529578754578755;0,00000680622807434617;0,04301305028196095;0,04301305028196095
decay_rate;0,482778789310722;0,00000001785807296387225;Taux de changement;3;0,471520146520147;0,00008393161452994099;0,01125864279057548;0,01125864279057548
ROS;0,481034032667925;0,00000002043534367288154;Ratio d'Occupation Stratifiée;4;0,531227106227106;0,00000629400545748466;-0,05019307355918168;0,05019307355918168
basal_thickness;0,472150437616601;0,00000004012976365403485;Épaisseur zone basale;5;0,494371764545897;0,00003295878087946397;-0,02222132692929607;0,02222132692929607
h25;0,472145026287006;0,00000004014603012294716;Hauteur à 25% de trouées;6;0,490064102564103;0,00003951089082324479;-0,01791907627709666;0,01791907627709666
anisotropy_mean;0,470631582077913;0,00000004495192635551588;Anisotropie moyenne;7;0,434294871794872;0,00033634588995001222;0,03633671028304092;0,03633671028304092
prop_at_15m;-0,466947876962046;0,00000005905862826816896;Proportion de trouées à 15m;8;-0,460719559548952;0,00012765043197174888;-0,00622831741309371;0,00622831741309371
h50;0,464181269640904;0,00000007234277906405474;Hauteur à 50% de trouées;9;0,492032967032967;0,00003637946770975206;-0,02785169739206311;0,02785169739206311
h50_squared;0,464181269640904;0,00000007234277906405474;h50 au carré;10;0,492032967032967;0,00003637946770975206;-0,02785169739206311;0,02785169739206311
logistic_h0;0,463553421606564;0,00000007573261341806977;Logistique - point d'inflexion;11;0,487545787545788;0,00004387990972255456;-0,02399236593922355;0,02399236593922355
h10;0,459746679840461;0,00000009977355543177918;Hauteur à 10% de trouées;12;NA;NA;NA;NA
upper_thickness;-0,457471029151738;0,00000011746240896153394;Épaisseur zone supérieure;13;-0,483935988240071;0,00005092575406988184;0,02646495908833235;0,02646495908833235
h75;0,454889118732672;0,00000014115642626342172;Hauteur à 75% de trouées;14;0,482738095238095;0,00005348582370565008;-0,02784897650542301;0,02784897650542301
h90;0,453137753163198;0,00000015975651680521915;Hauteur à 90% de trouées;15;0,473855311355311;0,00007651546787372747;-0,02071755819211379;0,02071755819211379
prop_at_10m;-0,450280136342997;0,00000019522244116494380;Proportion de trouées à 10m;16;NA;NA;NA;NA
roughness_large;-0,413827857286837;0,00000215835992644521328;Rugosité à grande échelle (20m);17;NA;NA;NA;NA
anisotropy_ratio;-0,412459809464644;0,00000234943401019451035;Ratio d'anisotropie max/moyenne;18;NA;NA;NA;NA
prop_at_30m;-0,411687241582877;0,00000246431198860127537;Proportion de trouées à 30m;19;-0,426562868980845;0,00044011646193197439;0,01487562739796777;0,01487562739796777
IPN;-0,405341995433232;0,00000363107531536157865;Indice de Progression Normalisée;20;-0,434569597069597;0,00033310827479390593;0,02922760163636540;0,02922760163636540
height_min_d2;NA;NA;Hauteur à décélération max;NA;0,431127840108774;0,00037579948742529030;NA;NA
height_max_d2;NA;NA;Hauteur à accélération max;NA;0,423163494038988;0,00049435327684555343;NA;NA
dominant_height_large;NA;NA;Hauteur dominante à grande échelle;NA;0,416939811226293;0,00060965058389166526;NA;NA
ISC;NA;NA;Indice de Stratification Complète;NA;-0,414239926739927;0,00066686318583600995;NA;NA
