metric;correlation_WD_mean;p_value_WD_mean;metric_label;rank_WD_mean;correlation_prop_ind_helio;p_value_prop_ind_helio;diff;abs_diff
auc;-0,496413005045916;0,00000000606561437812529;Aire sous la courbe;1;0,471840659340659;0,0000828759176139612;-0,968253664386575;0,968253664386575
prop_at_20m;-0,486565704296794;0,00000001329319680241788;Proportion de trouées à 20m;2;0,504395604395604;0,0000214082305522782;-0,990961308692398;0,990961308692398
decay_rate;0,482778789310722;0,00000001785807296387225;Taux de changement;3;-0,491346153846154;0,0000374447375273015;0,974124943156876;0,974124943156876
ROS;0,481034032667925;0,00000002043534367288154;Ratio d'Occupation Stratifiée;4;-0,452060439560440;0,0001768857749526570;0,933094472228364;0,933094472228364
basal_thickness;0,472150437616601;0,00000004012976365403485;Épaisseur zone basale;5;-0,468400413624232;0,0000948745054224531;0,940550851240833;0,940550851240833
h25;0,472145026287006;0,00000004014603012294716;Hauteur à 25% de trouées;6;-0,466117216117216;0,0001036997819777917;0,938262242404222;0,938262242404222
anisotropy_mean;0,470631582077913;0,00000004495192635551588;Anisotropie moyenne;7;-0,508699633699634;0,0000177132023823381;0,979331215777546;0,979331215777546
prop_at_15m;-0,466947876962046;0,00000005905862826816896;Proportion de trouées à 15m;8;0,470426630372286;0,0000876273931757382;-0,937374507334332;0,937374507334332
h50;0,464181269640904;0,00000007234277906405474;Hauteur à 50% de trouées;9;-0,429716117216117;0,0003947093570497686;0,893897386857021;0,893897386857021
h50_squared;0,464181269640904;0,00000007234277906405474;h50 au carré;10;-0,429716117216117;0,0003947093570497686;0,893897386857021;0,893897386857021
logistic_h0;0,463553421606564;0,00000007573261341806977;Logistique - point d'inflexion;11;NA;NA;NA;NA
h10;0,459746679840461;0,00000009977355543177918;Hauteur à 10% de trouées;12;-0,462637362637363;0,0001186124475113780;0,922384042477823;0,922384042477823
upper_thickness;-0,457471029151738;0,00000011746240896153394;Épaisseur zone supérieure;13;NA;NA;NA;NA
h75;0,454889118732672;0,00000014115642626342172;Hauteur à 75% de trouées;14;NA;NA;NA;NA
h90;0,453137753163198;0,00000015975651680521915;Hauteur à 90% de trouées;15;NA;NA;NA;NA
prop_at_10m;-0,450280136342997;0,00000019522244116494380;Proportion de trouées à 10m;16;0,475165695609149;0,0000726234133539063;-0,925445831952146;0,925445831952146
roughness_large;-0,413827857286837;0,00000215835992644521328;Rugosité à grande échelle (20m);17;NA;NA;NA;NA
anisotropy_ratio;-0,412459809464644;0,00000234943401019451035;Ratio d'anisotropie max/moyenne;18;0,488095238095238;0,0000428902122544853;-0,900555047559882;0,900555047559882
prop_at_30m;-0,411687241582877;0,00000246431198860127537;Proportion de trouées à 30m;19;NA;NA;NA;NA
IPN;-0,405341995433232;0,00000363107531536157865;Indice de Progression Normalisée;20;0,446749084249084;0,0002151487714021812;-0,852091079682316;0,852091079682316
dominant_height_medium;NA;NA;Hauteur dominante à échelle moyenne;NA;-0,479757585596978;0,0000603804639359207;NA;NA
dominant_height_small;NA;NA;Hauteur dominante à petite échelle;NA;-0,460036180137707;0,0001310210220062067;NA;NA
ICV;NA;NA;Indice de Complexité Verticale;NA;-0,456639194139194;0,0001490225291921835;NA;NA
height_max_anisotropy;NA;NA;Hauteur d'anisotropie maximale;NA;-0,452495004248072;0,0001740495201284990;NA;NA
dominant_height_large;NA;NA;Hauteur dominante à grande échelle;NA;-0,434123482342764;0,0003383802192644668;NA;NA
height_min_d2;NA;NA;Hauteur à décélération max;NA;-0,431104928494802;0,0003760996744241160;NA;NA
