metric;correlation_WD_mean;p_value_WD_mean;metric_label;rank_WD_mean;correlation_prop_ind_shade;p_value_prop_ind_shade;diff;abs_diff
prop_at_20m;-0,531828103125011;0,000000000291064758609756;Proportion de trouées à 20m;1;-0,501163088441037;0,0000246407376402201;-0,030665014683974201;0,030665014683974201
decay_rate;0,483137372737927;0,000000017368461520491765;Taux de changement;2;0,418657787903598;0,0005756037433897665;0,064479584834328585;0,064479584834328585
h90;0,475403855257234;0,000000031412014577875683;Hauteur à 90% de trouées;3;0,454652091659547;0,0001605784061860736;0,020751763597687656;0,020751763597687656
GVN;-0,464104414311475;0,000000072749800251516457;Gradient Vertical Normalisé;4;-0,463424712050667;0,0001150753526591515;-0,000679702260808213;0,000679702260808213
prop_at_15m;-0,460124617073080;0,000000097094192783318882;Proportion de trouées à 15m;5;NA;NA;NA;NA
upper_thickness;-0,459934321207627;0,000000098434570998008374;Épaisseur zone supérieure;6;-0,454009259282717;0,0001644892605184301;-0,005925061924910102;0,005925061924910102
h75;0,459092974890702;0,000000104575568732105801;Hauteur à 75% de trouées;7;0,455494292164214;0,0001555837634148487;0,003598682726488611;0,003598682726488611
min_d2;0,455707053312189;0,000000133195968261396260;Décélération maximale;8;0,464170416151177;0,0001118150579063295;-0,008463362838988686;0,008463362838988686
ROS;0,450428627591532;0,000000193207855959943520;Ratio d'Occupation Stratifiée;9;0,491169652560006;0,0000377231229336297;-0,040741024968474260;0,040741024968474260
auc;-0,436745633686399;0,000000492373004364299711;Aire sous la courbe;10;-0,470346216092456;0,0000879050036998591;0,033600582406057011;0,033600582406057011
prop_at_10m;-0,432314960894888;0,000000660819877433255858;Proportion de trouées à 10m;11;NA;NA;NA;NA
h50;0,416934294545231;0,000001777737202786535099;Hauteur à 50% de trouées;12;0,424101229945825;0,0004788150258909168;-0,007166935400593766;0,007166935400593766
max_d1;-0,411652554957086;0,000002469592636791008924;Pente maximale;13;-0,428647441152386;0,0004095963920436399;0,016994886195299264;0,016994886195299264
IDT;0,390414196458760;0,000008764088705808582394;Indice de Différenciation Transitionnelle;14;NA;NA;NA;NA
Smax;-0,385555405034432;0,000011569405930532149137;Pente maximale;15;NA;NA;NA;NA
h25;0,384676239140815;0,000012159904755691327777;Hauteur à 25% de trouées;16;0,423959124005379;0,0004811407865324345;-0,039282884864563716;0,039282884864563716
log_max_d1;-0,383901437553455;0,000012703738335181803613;Log pente maximale;17;-0,410358764339860;0,0007576554609640146;0,026457326786404667;0,026457326786404667
basal_thickness;0,382726293423715;0,000013572483852914584188;Épaisseur zone basale;18;0,425744614907764;0,0004526519286623431;-0,043018321484048938;0,043018321484048938
height_min_d2;0,375210257027858;0,000020597141593658753738;Hauteur à décélération max;19;0,399886908564162;0,0010611382350696123;-0,024676651536303995;0,024676651536303995
anisotropy_squared;0,373702702344867;0,000022366936600569801486;Anisotropie au carré;20;NA;NA;NA;NA
anisotropy_mean;NA;NA;Anisotropie moyenne;NA;0,459868107100704;0,0001318624353764076;NA;NA
ICV;NA;NA;Indice de Complexité Verticale;NA;0,449558841662126;0,0001940537885139938;NA;NA
height_max_anisotropy;NA;NA;Hauteur d'anisotropie maximale;NA;0,431634376514593;0,0003692184157451812;NA;NA
h50_squared;NA;NA;h50 au carré;NA;0,424928949681353;0,0004654703324228662;NA;NA
max_d2;NA;NA;Accélération maximale;NA;-0,399794880417613;0,0010642332152103748;NA;NA
