metric;correlation_WD_mean;p_value_WD_mean;metric_label;rank_WD_mean;correlation_prop_ind_shade;p_value_prop_ind_shade;diff;abs_diff
auc;-0,496413005045916;0,00000000606561437812529;Aire sous la courbe;1;-0,467399267399267;0,0000986554293309159;-0,02901373764664822;0,02901373764664822
prop_at_20m;-0,486565704296794;0,00000001329319680241788;Proportion de trouées à 20m;2;-0,479990842490842;0,0000598126367557725;-0,00657486180595118;0,00657486180595118
decay_rate;0,482778789310722;0,00000001785807296387225;Taux de changement;3;0,487500000000000;0,0000439633308464612;-0,00472121068927800;0,00472121068927800
ROS;0,481034032667925;0,00000002043534367288154;Ratio d'Occupation Stratifiée;4;0,459111721611722;0,0001357108905014270;0,02192231105620296;0,02192231105620296
basal_thickness;0,472150437616601;0,00000004012976365403485;Épaisseur zone basale;5;0,437230212033064;0,0003031927503704706;0,03492022558353691;0,03492022558353691
h25;0,472145026287006;0,00000004014603012294716;Hauteur à 25% de trouées;6;0,435576923076923;0,0003214788560456741;0,03656810321008286;0,03656810321008286
anisotropy_mean;0,470631582077913;0,00000004495192635551588;Anisotropie moyenne;7;0,501602564102564;0,0000241761313397250;-0,03097098202465143;0,03097098202465143
prop_at_15m;-0,466947876962046;0,00000005905862826816896;Proportion de trouées à 15m;8;NA;NA;NA;NA
h50;0,464181269640904;0,00000007234277906405474;Hauteur à 50% de trouées;9;0,418177655677656;0,0005849407673920389;0,04600361396324826;0,04600361396324826
h50_squared;0,464181269640904;0,00000007234277906405474;h50 au carré;10;NA;NA;NA;NA
logistic_h0;0,463553421606564;0,00000007573261341806977;Logistique - point d'inflexion;11;NA;NA;NA;NA
h10;0,459746679840461;0,00000009977355543177918;Hauteur à 10% de trouées;12;0,436630036630037;0,0003097181543101980;0,02311664321042389;0,02311664321042389
upper_thickness;-0,457471029151738;0,00000011746240896153394;Épaisseur zone supérieure;13;-0,420687457528905;0,0005376101802828398;-0,03678357162283391;0,03678357162283391
h75;0,454889118732672;0,00000014115642626342172;Hauteur à 75% de trouées;14;0,418543956043956;0,0005778050816158010;0,03634516268871618;0,03634516268871618
h90;0,453137753163198;0,00000015975651680521915;Hauteur à 90% de trouées;15;0,419734432234432;0,0005551566180148466;0,03340332092876536;0,03340332092876536
prop_at_10m;-0,450280136342997;0,00000019522244116494380;Proportion de trouées à 10m;16;-0,448036264180729;0,0002052371502714547;-0,00224387216226785;0,00224387216226785
roughness_large;-0,413827857286837;0,00000215835992644521328;Rugosité à grande échelle (20m);17;NA;NA;NA;NA
anisotropy_ratio;-0,412459809464644;0,00000234943401019451035;Ratio d'anisotropie max/moyenne;18;-0,457051282051282;0,0001467237973796399;0,04459147258663815;0,04459147258663815
prop_at_30m;-0,411687241582877;0,00000246431198860127537;Proportion de trouées à 30m;19;NA;NA;NA;NA
IPN;-0,405341995433232;0,00000363107531536157865;Indice de Progression Normalisée;20;NA;NA;NA;NA
dominant_height_medium;NA;NA;Hauteur dominante à échelle moyenne;NA;0,476501260509517;0,0000688451789131295;NA;NA
ICV;NA;NA;Indice de Complexité Verticale;NA;0,474130036630037;0,0000756838982477376;NA;NA
height_max_anisotropy;NA;NA;Hauteur d'anisotropie maximale;NA;0,461698136484774;0,0001229624967887868;NA;NA
height_min_d2;NA;NA;Hauteur à décélération max;NA;0,454566421202002;0,0001610946315184753;NA;NA
P0;NA;NA;Proportion initiale de trouées;NA;-0,445914327089069;0,0002218089284245369;NA;NA
dominant_height_small;NA;NA;Hauteur dominante à petite échelle;NA;0,443639895366337;0,0002409249390495109;NA;NA
