axis;r_pearson;p_pearson;rho_spearman;p_spearman;n;sig_pearson;sig_spearman;abs_r;stars;label
NSCA1;0,77108015894320314;3,69865128399984e-16;0,5954066985645933;2,76590377704253e-08;76;TRUE;TRUE;0,77108015894320314;***;r=0.77***
CA1;-0,72080611161567942;2,10621356016876e-13;-0,7560082023239918;0,00000000000000e+00;76;TRUE;TRUE;0,72080611161567942;***;r=-0.72***
CA2;0,38223196984997887;6,55948033886474e-04;0,2899521531100478;1,13028885255685e-02;76;TRUE;TRUE;0,38223196984997887;***;r=0.38***
CA5;0,32263421480667065;4,47638865527650e-03;0,3214490772385509;4,80848991810870e-03;76;TRUE;TRUE;0,32263421480667065;**;r=0.32**
NSCA4;0,31993607518268180;4,84185590537102e-03;0,2425974025974026;3,49712192018995e-02;76;TRUE;TRUE;0,31993607518268180;**;r=0.32**
NSCA2;-0,26965999931042300;1,84878866159388e-02;-0,7234449760765550;0,00000000000000e+00;76;TRUE;TRUE;0,26965999931042300;*;r=-0.27*
CA3;-0,17605637685096132;1,28185374889908e-01;-0,3560902255639098;1,69503285455681e-03;76;FALSE;TRUE;0,17605637685096132;;r=-0.18
CA4;0,08466586813762848;4,67119139316290e-01;-0,1156801093643199;3,18962958570793e-01;76;FALSE;FALSE;0,08466586813762848;;r=0.08
NSCA3;0,07488337547718554;5,20287425077312e-01;0,0408202323991798;7,25727016111890e-01;76;FALSE;FALSE;0,07488337547718554;;r=0.07
CA6;-0,05426179964027926;6,41539949857134e-01;-0,1115789473684211;3,36509370354356e-01;76;FALSE;FALSE;0,05426179964027926;;r=-0.05
NSCA6;-0,01720652348375812;8,82715399929937e-01;0,0501435406698565;6,66441760758492e-01;76;FALSE;FALSE;0,01720652348375812;;r=-0.02
NSCA5;0,00617954897487601;9,57748069603878e-01;-0,2890772385509228;1,15603985099126e-02;76;FALSE;TRUE;0,00617954897487601;;r=0.01
