variable;r_pearson;p_pearson;rho_spearman;p_spearman;n;abs_r;abs_rho
prop_at_20m;-0,607591641312557;0,00000000588547245188952;-0,5726862611073137;0,0000001170239049175183;76;0,607591641312557;0,5726862611073137
prop_at_25m;-0,606883665871669;0,00000000619643365118890;-0,5709813464340250;0,0000000721211645225838;76;0,606883665871669;0,5709813464340250
h75;0,568472325217211;0,00000008469447735928516;0,5408339029391661;0,0000007151314848085078;76;0,568472325217211;0,5408339029391661
h90;0,561773373418920;0,00000012923622864459966;0,5362406015037594;0,0000009154071288889710;76;0,561773373418920;0,5362406015037594
h50;0,537578676694186;0,00000055169977225580190;0,5464114832535885;0,0000005275528472483310;76;0,537578676694186;0,5464114832535885
h25;0,522959404291293;0,00000125700922172766831;0,5538482570061517;0,0000003489040819551606;76;0,522959404291293;0,5538482570061517
prop_at_30m;-0,478209087027304;0,00001248246130246483299;-0,4994531083051184;0,0000043706678074367574;76;0,478209087027304;0,4994531083051184
h10;0,451020650724982;0,00004335744759762374478;0,4915652768284347;0,0000086170445713632008;76;0,451020650724982;0,4915652768284347
max_d1;-0,440909063647622;0,00006710660093092323149;-0,3044702665755297;0,0077042866700453172674;76;0,440909063647622;0,3044702665755297
auc_norm;-0,438730412610973;0,00007359728960969925276;-0,3431578947368421;0,0025345188463385577571;76;0,438730412610973;0,3431578947368421
prop_at_15m;-0,424263682318159;0,00013375710572106826613;-0,4995249455000185;0,0000043546616696756652;76;0,424263682318159;0,4995249455000185
height_max_d1;0,408032593978043;0,00025340167074061392466;0,4184955905555751;0,0001684788274529549048;76;0,408032593978043;0,4184955905555751
prop_at_35m;-0,399019630640437;0,00035638784071286743393;-0,4773022786299567;0,0000130342599561094281;76;0,399019630640437;0,4773022786299567
slope_upper;0,364129976443627;0,00122249232586207315539;0,4256732740943267;0,0001458323370508560657;76;0,364129976443627;0,4256732740943267
prop_at_10m;-0,327202036649930;0,00391319701818119806969;-0,4266741399562418;0,0001213094305252809395;76;0,327202036649930;0,4266741399562418
prop_at_40m;-0,316803420132108;0,00529915308773789076047;-0,4143388279392373;0,0001984558666759198833;76;0,316803420132108;0,4143388279392373
slope_transition;-0,295132101069226;0,00964823877368679340416;-0,1217498291182502;0,2940971351692129309718;76;0,295132101069226;0,1217498291182502
prop_at_5m;-0,256632555377293;0,02523322588944503300223;-0,4113935736426005;0,0002225863552009375509;76;0,256632555377293;0,4113935736426005
h100;0,227636545056665;0,04796856579915231150180;0,3677635865419967;0,0010819640150810199124;76;0,227636545056665;0,3677635865419967
auc_75_100;-0,225426869845234;0,05023739861237157267038;-0,0586192754613807;0,6142601721443110562859;76;0,225426869845234;0,0586192754613807
auc_0_25;0,207594770281383;0,07195011754313683505213;0,2098974709501025;0,0688937262477121170612;76;0,207594770281383;0,2098974709501025
slope_basal;-0,196795042545178;0,08840127383773929703459;-0,4936158578263841;0,0000078215362815582796;76;0,196795042545178;0,4936158578263841
auc_25_75;0,190297357953947;0,09964784324523572045518;0,1441695146958305;0,2135681766374653567375;76;0,190297357953947;0,1441695146958305
auc;-0,112374356114572;0,33380077859061685341402;0,0135611756664388;0,9073070900414297312864;76;0,112374356114572;0,0135611756664388
