variable;coefficient;abs_coef
slope_upper;1,60297937169511107;1,60297937169511107
max_d1;-1,34324090431939869;1,34324090431939869
prop_at_15m;0,40656457959065762;0,40656457959065762
prop_at_20m;-0,40102192793992192;0,40102192793992192
slope_basal;-0,24270046770167394;0,24270046770167394
sigmoid_k;0,22005651875878748;0,22005651875878748
auc_norm;-0,18029157765091539;0,18029157765091539
prop_at_30m;0,13914076084163285;0,13914076084163285
prop_at_25m;-0,09920270429551206;0,09920270429551206
prop_at_40m;-0,09502722611580897;0,09502722611580897
prop_at_5m;-0,08850363220765514;0,08850363220765514
auc_0_25;-0,01071798237566039;0,01071798237566039
height_max_d1;-0,00243313540188617;0,00243313540188617
h90;0,00158520086933751;0,00158520086933751
