respons;predictors;buffer;height_aboveground;xmin;RMSE;rRMSE;Rsquared;MAE;P_Value;model
WD.BA;proportion;0;1;1;0,0640016892624749;0,0946771906402023;0,00120170276497676;0,0437222472022674;0,669638744152025;(Intercept)=0.676836602608636 + proportion=-2.1520174841113
WD.BA;proportion;0;1;10;0,0462174623924332;0,0683691250693337;0,995376311665524;0,0362279828888601;0,721071636677428;(Intercept)=0.676562536627897 + proportion=-2.13988949918234
WD.BA;proportion;0;1;20;0,0462174623924332;0,0683691250693337;0,995376311665524;0,0362279828888601;0,721071636677428;(Intercept)=0.676562536627897 + proportion=-3.13057908213713
WD.BA;proportion;0;1;30;0,0462174623924332;0,0683691250693337;0,995376311665524;0,0362279828888601;0,721071636677428;(Intercept)=0.676562536627897 + proportion=-3.13057908213713
WD.BA;proportion;0;1;40;0,0462174623924332;0,0683691250693337;0,995376311665524;0,0362279828888601;0,721071636677428;(Intercept)=0.676562536627897 + proportion=-3.13057908213713
WD.BA;proportion;0;1;50;0,0462174623924332;0,0683691250693337;0,995376311665524;0,0362279828888601;0,721071636677428;(Intercept)=0.676562536627897 + proportion=-3.13057908213713
WD.BA;proportion;0;1;60;;;;;;
WD.BA;proportion;0;1;70;;;;;;
WD.BA;proportion;0;1;80;;;;;;
WD.BA;proportion;0;1;90;;;;;;
WD.BA;proportion;0;1;100;;;;;;
WD.BA;proportion;0;1;110;;;;;;
WD.BA;proportion;0;1;120;;;;;;
WD.BA;proportion;0;1;130;;;;;;
WD.BA;proportion;0;1;140;;;;;;
WD.BA;proportion;0;1;150;;;;;;
WD.BA;proportion;0;1;160;;;;;;
WD.BA;proportion;0;1;170;;;;;;
WD.BA;proportion;0;1;180;;;;;;
WD.BA;proportion;0;1;190;;;;;;
WD.BA;proportion;0;1;200;;;;;;
WD.BA;proportion;0;2;1;0,0469188346301365;0,0694066594504412;0,233996371658293;0,0372590729747385;0,872003074206904;(Intercept)=0.676449591984781 + proportion=-0.114514552534165
WD.BA;proportion;0;2;10;0,0469227038539787;0,0694123831625426;0,234766779289505;0,0373117655310548;0,885166312406378;(Intercept)=0.676384210102856 + proportion=-0.11049865753165
WD.BA;proportion;0;2;20;0,0469605390443358;0,06946835245916;0,221342201480615;0,0373824462286088;0,904896112490371;(Intercept)=0.676310282654268 + proportion=-0.0980733318792616
WD.BA;proportion;0;2;30;0,047109446608731;0,0696886302365824;0,145741587042685;0,0375710457841152;0,900565890780038;(Intercept)=0.676294595540388 + proportion=-0.11048684681599
WD.BA;proportion;0;2;40;0,0471138550443937;0,0696951516004475;0,136720284847626;0,0375570094727136;0,869100041426581;(Intercept)=0.676383069562359 + proportion=-0.150164039190412
WD.BA;proportion;0;2;50;0,0469971711458399;0,0695225420359918;0,137123845516365;0,0373842037106638;0,790124896631296;(Intercept)=0.67658424936147 + proportion=-0.257079434260892
WD.BA;proportion;0;2;60;0,049154160102282;0,0727133586689773;0,0374562749385306;0,0389201162295752;0,860643768500286;(Intercept)=0.676352520981238 + proportion=-0.169967800073017
WD.BA;proportion;0;2;70;0,049154160102282;0,0727133586689773;0,0374562749385306;0,0389201162295752;0,860643768500286;(Intercept)=0.676352520981238 + proportion=-0.169967800073017
WD.BA;proportion;0;2;80;0,049154160102282;0,0727133586689773;0,0374562749385306;0,0389201162295752;0,860643768500286;(Intercept)=0.676352520981238 + proportion=-0.169967800073017
WD.BA;proportion;0;2;90;0,049154160102282;0,0727133586689773;0,0374562749385306;0,0389201162295752;0,860643768500286;(Intercept)=0.676352520981238 + proportion=-0.169967800073017
WD.BA;proportion;0;2;100;0,049154160102282;0,0727133586689773;0,0374562749385306;0,0389201162295752;0,860643768500286;(Intercept)=0.676352520981238 + proportion=-0.169967800073017
WD.BA;proportion;0;2;110;0,049154160102282;0,0727133586689773;0,0374562749385306;0,0389201162295752;0,860643768500286;(Intercept)=0.676352520981238 + proportion=-0.169967800073017
WD.BA;proportion;0;2;120;0,0481636346132827;0,071248082179612;0,0553396585538166;0,0383776111719781;0,906432709443815;(Intercept)=0.676246421299343 + proportion=-0.145831256610729
WD.BA;proportion;0;2;130;0,0481636346132827;0,071248082179612;0,0553396585538166;0,0383776111719781;0,906432709443815;(Intercept)=0.676246421299343 + proportion=-0.145831256610729
WD.BA;proportion;0;2;140;0,0481636346132827;0,071248082179612;0,0553396585538166;0,0383776111719781;0,906432709443815;(Intercept)=0.676246421299343 + proportion=-0.145831256610729
WD.BA;proportion;0;2;150;0,0481636346132827;0,071248082179612;0,0553396585538166;0,0383776111719781;0,906432709443815;(Intercept)=0.676246421299343 + proportion=-0.145831256610729
WD.BA;proportion;0;2;160;0,0462174623924332;0,0683691250693337;0,995376311665524;0,0362279828888601;0,721071636677428;(Intercept)=0.676562536627897 + proportion=-0.476200761789873
WD.BA;proportion;0;2;170;0,0462174623924332;0,0683691250693337;0,995376311665524;0,0362279828888601;0,721071636677428;(Intercept)=0.676562536627897 + proportion=-0.476200761789873
WD.BA;proportion;0;2;180;0,0462174623924332;0,0683691250693337;0,995376311665524;0,0362279828888601;0,721071636677428;(Intercept)=0.676562536627897 + proportion=-0.476200761789873
WD.BA;proportion;0;2;190;0,0462174623924332;0,0683691250693337;0,995376311665524;0,0362279828888601;0,721071636677428;(Intercept)=0.676562536627897 + proportion=-0.476200761789873
WD.BA;proportion;0;2;200;0,0462174623924332;0,0683691250693337;0,995376311665524;0,0362279828888601;0,721071636677428;(Intercept)=0.676562536627897 + proportion=-0.476200761789873
WD.BA;proportion;0;3;1;0,0474888466854292;0,0702498737569393;0,141869509336484;0,0377312185739327;0,94548914084038;(Intercept)=0.676219323007691 + proportion=-0.0188932750379054
WD.BA;proportion;0;3;10;0,0475552575525891;0,07034811482531;0,132595226579935;0,0377804669312932;0,947532674178949;(Intercept)=0.676203478544548 + proportion=-0.0185763723455209
WD.BA;proportion;0;3;20;0,0475121804910443;0,0702843912702743;0,141860490786443;0,0377725087554946;0,965090987358115;(Intercept)=0.676131755491466 + proportion=-0.0123364255712734
WD.BA;proportion;0;3;30;0,0475589977416849;0,0703536476573358;0,131454913495025;0,0377962189354248;0,956200061352578;(Intercept)=0.676162446297506 + proportion=-0.0155406784593977
WD.BA;proportion;0;3;40;0,0475736329529085;0,0703752974090695;0,130203342611534;0,0378018272964639;0,952846949826253;(Intercept)=0.676175646229227 + proportion=-0.0171348929105617
WD.BA;proportion;0;3;50;0,0476930372591639;0,0705519312510334;0,127091699044117;0,0379440752042643;0,988921735882056;(Intercept)=0.675959102266049 + proportion=0.00418323674925379
WD.BA;proportion;0;3;60;0,0477180469188274;0,0705889278419529;0,11855017010313;0,0379467772127067;0,993828244737046;(Intercept)=0.676020378646884 + proportion=-0.00241179233559472
WD.BA;proportion;0;3;70;0,0480105458795793;0,071021619231638;0,0958064172302509;0,0381200022301161;0,979018391187127;(Intercept)=0.676069433045307 + proportion=-0.0083629402520129
WD.BA;proportion;0;3;80;0,0480105458795793;0,071021619231638;0,0958064172302509;0,0381200022301161;0,979018391187127;(Intercept)=0.676069433045307 + proportion=-0.0083629402520129
WD.BA;proportion;0;3;90;0,0480105458795793;0,071021619231638;0,0958064172302509;0,0381200022301161;0,979018391187127;(Intercept)=0.676069433045307 + proportion=-0.0083629402520129
WD.BA;proportion;0;3;100;0,0480105458795793;0,071021619231638;0,0958064172302509;0,0381200022301161;0,979018391187127;(Intercept)=0.676069433045307 + proportion=-0.0083629402520129
WD.BA;proportion;0;3;110;0,0480105458795793;0,071021619231638;0,0958064172302509;0,0381200022301161;0,979018391187127;(Intercept)=0.676069433045307 + proportion=-0.0083629402520129
WD.BA;proportion;0;3;120;0,0480105458795793;0,071021619231638;0,0958064172302509;0,0381200022301161;0,979018391187127;(Intercept)=0.676069433045307 + proportion=-0.0083629402520129
WD.BA;proportion;0;3;130;0,0480105458795793;0,071021619231638;0,0958064172302509;0,0381200022301161;0,979018391187127;(Intercept)=0.676069433045307 + proportion=-0.0083629402520129
WD.BA;proportion;0;3;140;0,0477503772930235;0,0706367539077413;0,110368800277628;0,0379030848089184;0,935815647629775;(Intercept)=0.676218509124752 + proportion=-0.0275588765847546
WD.BA;proportion;0;3;150;0,0477503772930235;0,0706367539077413;0,110368800277628;0,0379030848089184;0,935815647629775;(Intercept)=0.676218509124752 + proportion=-0.0275588765847546
WD.BA;proportion;0;3;160;0,0477798766947982;0,0706803921385095;0,108536212011763;0,0379997469299403;0,997181507897415;(Intercept)=0.67598969519391 + proportion=0.00125321637795765
WD.BA;proportion;0;3;170;0,0477798766947982;0,0706803921385095;0,108536212011763;0,0379997469299403;0,997181507897415;(Intercept)=0.67598969519391 + proportion=0.00125321637795765
WD.BA;proportion;0;3;180;0,048463976613651;0,0716923757155142;0,0779768197965604;0,0384480967294457;0,95645282311939;(Intercept)=0.675857720776092 + proportion=0.0206176297181861
WD.BA;proportion;0;3;190;0,048463976613651;0,0716923757155142;0,0779768197965604;0,0384480967294457;0,95645282311939;(Intercept)=0.675857720776092 + proportion=0.0206176297181861
WD.BA;proportion;0;3;200;0,0483424499846608;0,0715126023383838;0,0798363058199454;0,0384365102729422;0,861392350146165;(Intercept)=0.675575198823365 + proportion=0.06813400175592
WD.BA;proportion;0;4;1;0,0474339252699898;0,0701686289432523;0,168419834041985;0,0377176649823793;0,972914884937725;(Intercept)=0.676120687074035 + proportion=-0.00778929136928871
WD.BA;proportion;0;4;10;0,0474574616105439;0,070203446064914;0,1651406181858;0,0377458435206188;0,984665113055285;(Intercept)=0.676064476968464 + proportion=-0.00448167568589118
WD.BA;proportion;0;4;20;0,0474047994213271;0,0701255433066358;0,179412903852631;0,0377281993200546;0,992178858003673;(Intercept)=0.675966841066466 + proportion=0.00229630969357541
WD.BA;proportion;0;4;30;0,0474033765348613;0,0701234384419873;0,177438738890049;0,0377278453370723;0,99358448285765;(Intercept)=0.675973095475405 + proportion=0.00188093960091589
WD.BA;proportion;0;4;40;0,0473881364498766;0,0701008939053024;0,183633385625329;0,0377260086228934;0,981261474027499;(Intercept)=0.675924559198238 + proportion=0.0054993536876687
WD.BA;proportion;0;4;50;0,047415806303706;0,0701418257003249;0,177294397528849;0,0377357661640042;0,994614924244504;(Intercept)=0.675977755644823 + proportion=0.00162116037753597
WD.BA;proportion;0;4;60;0,047355799882899;0,0700530586785815;0,196183780389173;0,0377113862046277;0,968873893362177;(Intercept)=0.675877835945161 + proportion=0.00935903675843755
WD.BA;proportion;0;4;70;0,0473819768972137;0,0700917821279659;0,191713764244085;0,037739820772213;0,951216974742382;(Intercept)=0.67581252694018 + proportion=0.0148970171973786
WD.BA;proportion;0;4;80;0,0473770466099467;0,0700844887931668;0,189975614057807;0,0377401827231702;0,951957112809027;(Intercept)=0.675819550112405 + proportion=0.0146441139649443
WD.BA;proportion;0;4;90;0,0474399127168009;0,0701774861257691;0,179436356660663;0,0377931620638029;0,93885741982701;(Intercept)=0.675771288889845 + proportion=0.0190056430981881
WD.BA;proportion;0;4;100;0,0477075028812166;0,0705733301308534;0,126784051007319;0,0379418928650647;0,997106574833867;(Intercept)=0.676009324217897 + proportion=-0.000903988881151267
WD.BA;proportion;0;4;110;0,0477075028812166;0,0705733301308534;0,126784051007319;0,0379418928650647;0,997106574833867;(Intercept)=0.676009324217897 + proportion=-0.000903988881151267
WD.BA;proportion;0;4;120;0,0477075028812166;0,0705733301308534;0,126784051007319;0,0379418928650647;0,997106574833867;(Intercept)=0.676009324217897 + proportion=-0.000903988881151267
WD.BA;proportion;0;4;130;0,0477075028812166;0,0705733301308534;0,126784051007319;0,0379418928650647;0,997106574833867;(Intercept)=0.676009324217897 + proportion=-0.000903988881151267
WD.BA;proportion;0;4;140;0,0477075028812166;0,0705733301308534;0,126784051007319;0,0379418928650647;0,997106574833867;(Intercept)=0.676009324217897 + proportion=-0.000903988881151267
WD.BA;proportion;0;4;150;0,0479185730907504;0,0708855646155488;0,10083511174193;0,0380260948204244;0,945102890565517;(Intercept)=0.676185842313446 + proportion=-0.0171365724424745
WD.BA;proportion;0;4;160;0,0479185730907504;0,0708855646155488;0,10083511174193;0,0380260948204244;0,945102890565517;(Intercept)=0.676185842313446 + proportion=-0.0171365724424745
WD.BA;proportion;0;4;170;0,0482745156216799;0,0714121075747441;0,0860386206428388;0,0382773851794575;0,968312594576963;(Intercept)=0.676105141718028 + proportion=-0.0102442809714069
WD.BA;proportion;0;4;180;0,0482745156216799;0,0714121075747441;0,0860386206428388;0,0382773851794575;0,968312594576963;(Intercept)=0.676105141718028 + proportion=-0.0102442809714069
WD.BA;proportion;0;4;190;0,0482745156216799;0,0714121075747441;0,0860386206428388;0,0382773851794575;0,968312594576963;(Intercept)=0.676105141718028 + proportion=-0.0102442809714069
WD.BA;proportion;0;4;200;0,0487489323387367;0,0721139084565848;0,0715637970966792;0,0385957372591032;0,977019772770136;(Intercept)=0.675924312598219 + proportion=0.00887346498907532
WD.BA;proportion;0;5;1;0,0474150155975042;0,0701406560149202;0,179644525222346;0,0377022813224675;0,975819241770541;(Intercept)=0.67611717587138 + proportion=-0.00646567767810371
WD.BA;proportion;0;5;10;0,047386865090732;0,0700990131938167;0,193682766032296;0,0377072084233241;0,990956498701241;(Intercept)=0.67595748021249 + proportion=0.00244777014906214
WD.BA;proportion;0;5;20;0,0473794106110376;0,0700879858412064;0,192641149934637;0,0377014251996095;0,993340758916568;(Intercept)=0.675969483099037 + proportion=0.00182587015008663
WD.BA;proportion;0;5;30;0,0473558544704781;0,0700531394295538;0,199484307138836;0,0376936037372873;0,97995802392633;(Intercept)=0.675913139393998 + proportion=0.00549096971049609
WD.BA;proportion;0;5;40;0,0473112689696482;0,0699871844522633;0,21529364793268;0,0376715758380072;0,960203222326945;(Intercept)=0.675831144877055 + proportion=0.0108902563514668
WD.BA;proportion;0;5;50;0,0472910681212128;0,069957301497603;0,222985775145864;0,037650494943325;0,968515702531105;(Intercept)=0.675865521285811 + proportion=0.00874566329321483
WD.BA;proportion;0;5;60;0,0472886954458047;0,0699537916177149;0,228283686703742;0,0376599080599925;0,948072413288732;(Intercept)=0.675784345835334 + proportion=0.0145601379316841
WD.BA;proportion;0;5;70;0,0472670819817419;0,0699218189919758;0,233423738608941;0,0376445446454462;0,941081597210865;(Intercept)=0.67575938480402 + proportion=0.0164954212395372
WD.BA;proportion;0;5;80;0,0471980280031001;0,0698196679897807;0,268609225488947;0,0375981052410197;0,881905222258188;(Intercept)=0.675526653047279 + proportion=0.0336566125793848
WD.BA;proportion;0;5;90;0,0472204400504532;0,0698528219534392;0,262300375103418;0,0376122927856521;0,867521562337856;(Intercept)=0.675470117282161 + proportion=0.0384984878111462
WD.BA;proportion;0;5;100;0,0472204400504532;0,0698528219534392;0,262300375103418;0,0376122927856521;0,867521562337856;(Intercept)=0.675470117282161 + proportion=0.0384984878111462
WD.BA;proportion;0;5;110;0,0472204400504532;0,0698528219534392;0,262300375103418;0,0376122927856521;0,867521562337856;(Intercept)=0.675470117282161 + proportion=0.0384984878111462
