respons;predictors;buffer;height_aboveground;xmin;RMSE;rRMSE;Rsquared;MAE;P_Value;model
WD.BA;proportion;50;4;1;;;;;;
WD.BA;proportion;50;4;2;;;;;;
WD.BA;proportion;50;4;3;;;;;;
WD.BA;proportion;50;4;4;;;;;;
WD.BA;proportion;50;4;5;;;;;;
WD.BA;proportion;50;4;6;;;;;;
WD.BA;proportion;50;4;7;;;;;;
WD.BA;proportion;50;4;8;;;;;;
WD.BA;proportion;50;4;9;;;;;;
WD.BA;proportion;50;4;10;;;;;;
WD.BA;proportion;50;4;11;;;;;;
WD.BA;proportion;50;4;12;;;;;;
WD.BA;proportion;50;4;13;;;;;;
WD.BA;proportion;50;4;14;;;;;;
WD.BA;proportion;50;4;15;;;;;;
WD.BA;proportion;50;4;16;;;;;;
WD.BA;proportion;50;4;17;;;;;;
WD.BA;proportion;50;4;18;;;;;;
WD.BA;proportion;50;4;19;;;;;;
WD.BA;proportion;50;4;20;;;;;;
WD.BA;proportion;50;4;21;;;;;;
WD.BA;proportion;50;4;22;;;;;;
WD.BA;proportion;50;4;23;;;;;;
WD.BA;proportion;50;4;24;;;;;;
WD.BA;proportion;50;4;25;;;;;;
WD.BA;proportion;50;4;26;;;;;;
WD.BA;proportion;50;4;27;;;;;;
WD.BA;proportion;50;4;28;;;;;;
WD.BA;proportion;50;4;29;;;;;;
WD.BA;proportion;50;4;30;;;;;;
WD.BA;proportion;50;4;31;;;;;;
WD.BA;proportion;50;4;32;;;;;;
WD.BA;proportion;50;4;33;;;;;;
WD.BA;proportion;50;4;34;;;;;;
WD.BA;proportion;50;4;35;;;;;;
WD.BA;proportion;50;4;36;;;;;;
WD.BA;proportion;50;4;37;;;;;;
WD.BA;proportion;50;4;38;;;;;;
WD.BA;proportion;50;4;39;;;;;;
WD.BA;proportion;50;4;40;;;;;;
WD.BA;proportion;50;4;41;;;;;;
WD.BA;proportion;50;4;42;;;;;;
WD.BA;proportion;50;4;43;;;;;;
WD.BA;proportion;50;4;44;;;;;;
WD.BA;proportion;50;4;45;;;;;;
WD.BA;proportion;50;4;46;;;;;;
WD.BA;proportion;50;4;47;;;;;;
WD.BA;proportion;50;4;48;;;;;;
WD.BA;proportion;50;4;49;;;;;;
WD.BA;proportion;50;4;50;;;;;;
WD.BA;proportion;50;4;51;;;;;;
WD.BA;proportion;50;4;52;;;;;;
WD.BA;proportion;50;4;53;;;;;;
WD.BA;proportion;50;4;54;;;;;;
WD.BA;proportion;50;4;55;;;;;;
WD.BA;proportion;50;4;56;;;;;;
WD.BA;proportion;50;4;57;;;;;;
WD.BA;proportion;50;4;58;;;;;;
WD.BA;proportion;50;4;59;;;;;;
WD.BA;proportion;50;4;60;;;;;;
WD.BA;proportion;50;4;61;;;;;;
WD.BA;proportion;50;4;62;;;;;;
WD.BA;proportion;50;4;63;;;;;;
WD.BA;proportion;50;4;64;;;;;;
WD.BA;proportion;50;4;65;;;;;;
WD.BA;proportion;50;4;66;;;;;;
WD.BA;proportion;50;4;67;;;;;;
WD.BA;proportion;50;4;68;;;;;;
WD.BA;proportion;50;4;69;;;;;;
WD.BA;proportion;50;4;70;;;;;;
WD.BA;proportion;50;4;71;;;;;;
WD.BA;proportion;50;4;72;;;;;;
WD.BA;proportion;50;4;73;;;;;;
WD.BA;proportion;50;4;74;;;;;;
WD.BA;proportion;50;4;75;;;;;;
WD.BA;proportion;50;4;76;;;;;;
WD.BA;proportion;50;4;77;;;;;;
WD.BA;proportion;50;4;78;;;;;;
WD.BA;proportion;50;4;79;;;;;;
WD.BA;proportion;50;4;80;;;;;;
WD.BA;proportion;50;4;81;;;;;;
WD.BA;proportion;50;4;82;;;;;;
WD.BA;proportion;50;4;83;;;;;;
WD.BA;proportion;50;4;84;;;;;;
WD.BA;proportion;50;4;85;;;;;;
WD.BA;proportion;50;4;86;;;;;;
WD.BA;proportion;50;4;87;;;;;;
WD.BA;proportion;50;4;88;;;;;;
WD.BA;proportion;50;4;89;;;;;;
WD.BA;proportion;50;4;90;;;;;;
WD.BA;proportion;50;4;91;;;;;;
WD.BA;proportion;50;4;92;;;;;;
WD.BA;proportion;50;4;93;;;;;;
WD.BA;proportion;50;4;94;;;;;;
WD.BA;proportion;50;4;95;;;;;;
WD.BA;proportion;50;4;96;;;;;;
WD.BA;proportion;50;4;97;;;;;;
WD.BA;proportion;50;4;98;;;;;;
WD.BA;proportion;50;4;99;;;;;;
WD.BA;proportion;50;4;100;;;;;;
WD.BA;proportion;50;4;101;;;;;;
WD.BA;proportion;50;4;102;;;;;;
WD.BA;proportion;50;4;103;;;;;;
WD.BA;proportion;50;4;104;;;;;;
WD.BA;proportion;50;4;105;;;;;;
WD.BA;proportion;50;4;106;;;;;;
WD.BA;proportion;50;4;107;;;;;;
WD.BA;proportion;50;4;108;;;;;;
WD.BA;proportion;50;4;109;;;;;;
WD.BA;proportion;50;4;110;;;;;;
WD.BA;proportion;50;4;111;;;;;;
WD.BA;proportion;50;4;112;;;;;;
WD.BA;proportion;50;4;113;;;;;;
