plot_ref;site;pays;region
123;Malebo;RDC;Pool Malebo (sud-ouest RDC)
148;Malebo;RDC;Pool Malebo (sud-ouest RDC)
162;Malebo;RDC;Pool Malebo (sud-ouest RDC)
166;Malebo;RDC;Pool Malebo (sud-ouest RDC)
180;Malebo;RDC;Pool Malebo (sud-ouest RDC)
184;Malebo;RDC;Pool Malebo (sud-ouest RDC)
189;Malebo;RDC;Pool Malebo (sud-ouest RDC)
199;Malebo;RDC;Pool Malebo (sud-ouest RDC)
41;Malebo;RDC;Pool Malebo (sud-ouest RDC)
53;Malebo;RDC;Pool Malebo (sud-ouest RDC)
Betamba_1;Betamba;RDC;Zone forestière RDC (localisation à préciser)
Betamba_2;Betamba;RDC;Zone forestière RDC (localisation à préciser)
Betamba_3;Betamba;RDC;Zone forestière RDC (localisation à préciser)
Betamba_4;Betamba;RDC;Zone forestière RDC (localisation à préciser)
GIL1;Yangambi;RDC;Province de la Tshopo, nord-est RDC
GIL2;Yangambi;RDC;Province de la Tshopo, nord-est RDC
GIL3;Yangambi;RDC;Province de la Tshopo, nord-est RDC
JEU-L6B;Yangambi;RDC;Province de la Tshopo, nord-est RDC
JEU2;Yangambi;RDC;Province de la Tshopo, nord-est RDC
JEU3;Yangambi;RDC;Province de la Tshopo, nord-est RDC
JEU4;Yangambi;RDC;Province de la Tshopo, nord-est RDC
Lokofa_1;Lokofa;RDC;RDC (localisation à préciser)
Lokofa_2;Lokofa;RDC;RDC (localisation à préciser)
Lokofa_3;Lokofa;RDC;RDC (localisation à préciser)
Lokofa_4;Lokofa;RDC;RDC (localisation à préciser)
M2P1;Malebo;RDC;Pool Malebo (sud-ouest RDC)
M2P10;Malebo;RDC;Pool Malebo (sud-ouest RDC)
M2P11;Malebo;RDC;Pool Malebo (sud-ouest RDC)
M2P12;Malebo;RDC;Pool Malebo (sud-ouest RDC)
M2P13;Malebo;RDC;Pool Malebo (sud-ouest RDC)
M2P14;Malebo;RDC;Pool Malebo (sud-ouest RDC)
M2P15;Malebo;RDC;Pool Malebo (sud-ouest RDC)
M2P16;Malebo;RDC;Pool Malebo (sud-ouest RDC)
M2P2;Malebo;RDC;Pool Malebo (sud-ouest RDC)
M2P9;Malebo;RDC;Pool Malebo (sud-ouest RDC)
MIX-L6A;Yangambi;RDC;Province de la Tshopo, nord-est RDC
MIX-L7A;Yangambi;RDC;Province de la Tshopo, nord-est RDC
MIX2;Yangambi;RDC;Province de la Tshopo, nord-est RDC
MIX6;Yangambi;RDC;Province de la Tshopo, nord-est RDC
Model_OR_lidar_87_Principal;DRC;RDC;RDC (localisation à préciser)
Modele_2406_Principal;DRC;RDC;RDC (localisation à préciser)
Modele_4301_Principal;DRC;RDC;RDC (localisation à préciser)
Modele_4402_Principal;DRC;RDC;RDC (localisation à préciser)
Modele_4503_Principal;DRC;RDC;RDC (localisation à préciser)
